BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
B1829,CCGPMC010_B1829_S109_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1829_S109_L002_R1_001.fastq.gz,CCGPMC010_B1829_S109_L002_R2_001.fastq.gz,41.294252,-123.526747,59-Ursus,CCGPMC010_B1829_S109_L002,59-Ursus
B1717,CCGPMC010_B1717_S111_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1717_S111_L002_R1_001.fastq.gz,CCGPMC010_B1717_S111_L002_R2_001.fastq.gz,37.425784,-119.587711,59-Ursus,CCGPMC010_B1717_S111_L002,59-Ursus
B1717,CCGPMC010_B1717_S39,mUrsAme1.4.p_ctg,CCGPMC010_B1717_S39_R1_001.fastq.gz,CCGPMC010_B1717_S39_R2_001.fastq.gz,37.425784,-119.587711,59-Ursus,CCGPMC010_B1717_S39,59-Ursus
B1778,CCGPMC010_B1778_S108_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1778_S108_L002_R1_001.fastq.gz,CCGPMC010_B1778_S108_L002_R2_001.fastq.gz,40.169387,-122.650531,59-Ursus,CCGPMC010_B1778_S108_L002,59-Ursus
B1778,CCGPMC010_B1778_S36,mUrsAme1.4.p_ctg,CCGPMC010_B1778_S36_R1_001.fastq.gz,CCGPMC010_B1778_S36_R2_001.fastq.gz,40.169387,-122.650531,59-Ursus,CCGPMC010_B1778_S36,59-Ursus
B1794,CCGPMC010_B1794_S35,mUrsAme1.4.p_ctg,CCGPMC010_B1794_S35_R1_001.fastq.gz,CCGPMC010_B1794_S35_R2_001.fastq.gz,39.226127,-120.814893,59-Ursus,CCGPMC010_B1794_S35,59-Ursus
B1794,CCGPMC010_B1794_S107_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1794_S107_L002_R1_001.fastq.gz,CCGPMC010_B1794_S107_L002_R2_001.fastq.gz,39.226127,-120.814893,59-Ursus,CCGPMC010_B1794_S107_L002,59-Ursus
B1810,CCGPMC010_B1810_S106_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1810_S106_L002_R1_001.fastq.gz,CCGPMC010_B1810_S106_L002_R2_001.fastq.gz,39.194106,-120.552375,59-Ursus,CCGPMC010_B1810_S106_L002,59-Ursus
B1810,CCGPMC010_B1810_S34,mUrsAme1.4.p_ctg,CCGPMC010_B1810_S34_R1_001.fastq.gz,CCGPMC010_B1810_S34_R2_001.fastq.gz,39.194106,-120.552375,59-Ursus,CCGPMC010_B1810_S34,59-Ursus
B1848,CCGPMC010_B1848_S33,mUrsAme1.4.p_ctg,CCGPMC010_B1848_S33_R1_001.fastq.gz,CCGPMC010_B1848_S33_R2_001.fastq.gz,40.360832,-122.939625,59-Ursus,CCGPMC010_B1848_S33,59-Ursus
B1848,CCGPMC010_B1848_S105_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1848_S105_L002_R1_001.fastq.gz,CCGPMC010_B1848_S105_L002_R2_001.fastq.gz,40.360832,-122.939625,59-Ursus,CCGPMC010_B1848_S105_L002,59-Ursus
B1854,CCGPMC010_B1854_S104_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1854_S104_L002_R1_001.fastq.gz,CCGPMC010_B1854_S104_L002_R2_001.fastq.gz,38.466835,-119.271153,59-Ursus,CCGPMC010_B1854_S104_L002,59-Ursus
B1854,CCGPMC010_B1854_S32,mUrsAme1.4.p_ctg,CCGPMC010_B1854_S32_R1_001.fastq.gz,CCGPMC010_B1854_S32_R2_001.fastq.gz,38.466835,-119.271153,59-Ursus,CCGPMC010_B1854_S32,59-Ursus
B1803,CCGPMC010_B1803_S122_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1803_S122_L002_R1_001.fastq.gz,CCGPMC010_B1803_S122_L002_R2_001.fastq.gz,37.612987,-118.901856,59-Ursus,CCGPMC010_B1803_S122_L002,59-Ursus
B1803,CCGPMC010_B1803_S50,mUrsAme1.4.p_ctg,CCGPMC010_B1803_S50_R1_001.fastq.gz,CCGPMC010_B1803_S50_R2_001.fastq.gz,37.612987,-118.901856,59-Ursus,CCGPMC010_B1803_S50,59-Ursus
B1812,CCGPMC010_B1812_S103_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1812_S103_L002_R1_001.fastq.gz,CCGPMC010_B1812_S103_L002_R2_001.fastq.gz,40.905483,-123.019592,59-Ursus,CCGPMC010_B1812_S103_L002,59-Ursus
B1812,CCGPMC010_B1812_S31,mUrsAme1.4.p_ctg,CCGPMC010_B1812_S31_R1_001.fastq.gz,CCGPMC010_B1812_S31_R2_001.fastq.gz,40.905483,-123.019592,59-Ursus,CCGPMC010_B1812_S31,59-Ursus
B1835,CCGPMC010_B1835_S29,mUrsAme1.4.p_ctg,CCGPMC010_B1835_S29_R1_001.fastq.gz,CCGPMC010_B1835_S29_R2_001.fastq.gz,34.086282,-116.917816,59-Ursus,CCGPMC010_B1835_S29,59-Ursus
B1835,CCGPMC010_B1835_S101_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1835_S101_L002_R1_001.fastq.gz,CCGPMC010_B1835_S101_L002_R2_001.fastq.gz,34.086282,-116.917816,59-Ursus,CCGPMC010_B1835_S101_L002,59-Ursus
B1834,CCGPMC010_B1834_S30,mUrsAme1.4.p_ctg,CCGPMC010_B1834_S30_R1_001.fastq.gz,CCGPMC010_B1834_S30_R2_001.fastq.gz,40.818001,-123.818009,59-Ursus,CCGPMC010_B1834_S30,59-Ursus
B1834,CCGPMC010_B1834_S102_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1834_S102_L002_R1_001.fastq.gz,CCGPMC010_B1834_S102_L002_R2_001.fastq.gz,40.818001,-123.818009,59-Ursus,CCGPMC010_B1834_S102_L002,59-Ursus
B1784,CCGPMC010_B1784_S100_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1784_S100_L002_R1_001.fastq.gz,CCGPMC010_B1784_S100_L002_R2_001.fastq.gz,39.043121,-122.463134,59-Ursus,CCGPMC010_B1784_S100_L002,59-Ursus
B1784,CCGPMC010_B1784_S28,mUrsAme1.4.p_ctg,CCGPMC010_B1784_S28_R1_001.fastq.gz,CCGPMC010_B1784_S28_R2_001.fastq.gz,39.043121,-122.463134,59-Ursus,CCGPMC010_B1784_S28,59-Ursus
B1932,CCGPMC010_B1932_S26,mUrsAme1.4.p_ctg,CCGPMC010_B1932_S26_R1_001.fastq.gz,CCGPMC010_B1932_S26_R2_001.fastq.gz,41.921642,-123.612602,59-Ursus,CCGPMC010_B1932_S26,59-Ursus
B1932,CCGPMC010_B1932_S98_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1932_S98_L002_R1_001.fastq.gz,CCGPMC010_B1932_S98_L002_R2_001.fastq.gz,41.921642,-123.612602,59-Ursus,CCGPMC010_B1932_S98_L002,59-Ursus
B1933,CCGPMC010_B1933_S97_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1933_S97_L002_R1_001.fastq.gz,CCGPMC010_B1933_S97_L002_R2_001.fastq.gz,39.047379,-122.746107,59-Ursus,CCGPMC010_B1933_S97_L002,59-Ursus
B1933,CCGPMC010_B1933_S25,mUrsAme1.4.p_ctg,CCGPMC010_B1933_S25_R1_001.fastq.gz,CCGPMC010_B1933_S25_R2_001.fastq.gz,39.047379,-122.746107,59-Ursus,CCGPMC010_B1933_S25,59-Ursus
B1906,CCGPMC010_B1906_S24,mUrsAme1.4.p_ctg,CCGPMC010_B1906_S24_R1_001.fastq.gz,CCGPMC010_B1906_S24_R2_001.fastq.gz,38.713952,-122.603615,59-Ursus,CCGPMC010_B1906_S24,59-Ursus
B1906,CCGPMC010_B1906_S96_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1906_S96_L002_R1_001.fastq.gz,CCGPMC010_B1906_S96_L002_R2_001.fastq.gz,38.713952,-122.603615,59-Ursus,CCGPMC010_B1906_S96_L002,59-Ursus
B1828,CCGPMC010_B1828_S27,mUrsAme1.4.p_ctg,CCGPMC010_B1828_S27_R1_001.fastq.gz,CCGPMC010_B1828_S27_R2_001.fastq.gz,35.083026,-118.528608,59-Ursus,CCGPMC010_B1828_S27,59-Ursus
B1828,CCGPMC010_B1828_S99_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1828_S99_L002_R1_001.fastq.gz,CCGPMC010_B1828_S99_L002_R2_001.fastq.gz,35.083026,-118.528608,59-Ursus,CCGPMC010_B1828_S99_L002,59-Ursus
B1888,CCGPMC010_B1888_S23,mUrsAme1.4.p_ctg,CCGPMC010_B1888_S23_R1_001.fastq.gz,CCGPMC010_B1888_S23_R2_001.fastq.gz,39.913109,-123.234001,59-Ursus,CCGPMC010_B1888_S23,59-Ursus
B1888,CCGPMC010_B1888_S95_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1888_S95_L002_R1_001.fastq.gz,CCGPMC010_B1888_S95_L002_R2_001.fastq.gz,39.913109,-123.234001,59-Ursus,CCGPMC010_B1888_S95_L002,59-Ursus
B2014,CCGPMC010_B2014_S22,mUrsAme1.4.p_ctg,CCGPMC010_B2014_S22_R1_001.fastq.gz,CCGPMC010_B2014_S22_R2_001.fastq.gz,39.635759,-120.671659,59-Ursus,CCGPMC010_B2014_S22,59-Ursus
