BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP-Cst21_II-C01,MVZCCGP-Cst21_II-C01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst21_II-C01_R1.fastq.gz,MVZCCGP-Cst21_II-C01_R2.fastq.gz,41.9145,-124.04522,41-Cyanocitta,MVZCCGP-Cst21_II-C01,41-Cyanocitta
MVZCCGP-Cst23_I-C03,MVZCCGP-Cst23_I-C03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst23_I-C03_R1.fastq.gz,MVZCCGP-Cst23_I-C03_R2.fastq.gz,38.69865,-120.45555,41-Cyanocitta,MVZCCGP-Cst23_I-C03,41-Cyanocitta
MVZCCGP-Cst22_I-B03,MVZCCGP-Cst22_I-B03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst22_I-B03_R1.fastq.gz,MVZCCGP-Cst22_I-B03_R2.fastq.gz,41.9145,-124.04522,41-Cyanocitta,MVZCCGP-Cst22_I-B03,41-Cyanocitta
MVZCCGP-Cst24_II-D01,MVZCCGP-Cst24_II-D01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst24_II-D01_R1.fastq.gz,MVZCCGP-Cst24_II-D01_R2.fastq.gz,38.69865,-120.45555,41-Cyanocitta,MVZCCGP-Cst24_II-D01,41-Cyanocitta
MVZCCGP-Cst25_II-E01,MVZCCGP-Cst25_II-E01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst25_II-E01_R1.fastq.gz,MVZCCGP-Cst25_II-E01_R2.fastq.gz,38.69865,-120.45555,41-Cyanocitta,MVZCCGP-Cst25_II-E01,41-Cyanocitta
MVZCCGP-Cst30_II-H01,MVZCCGP-Cst30_II-H01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst30_II-H01_R1.fastq.gz,MVZCCGP-Cst30_II-H01_R2.fastq.gz,40.21351,-124.13241,41-Cyanocitta,MVZCCGP-Cst30_II-H01,41-Cyanocitta
MVZCCGP-Cst28_I-D03,MVZCCGP-Cst28_I-D03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst28_I-D03_R1.fastq.gz,MVZCCGP-Cst28_I-D03_R2.fastq.gz,37.07529,-119.17293,41-Cyanocitta,MVZCCGP-Cst28_I-D03,41-Cyanocitta
MVZCCGP-Cst29_II-G01,MVZCCGP-Cst29_II-G01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst29_II-G01_R1.fastq.gz,MVZCCGP-Cst29_II-G01_R2.fastq.gz,37.07529,-119.17293,41-Cyanocitta,MVZCCGP-Cst29_II-G01,41-Cyanocitta
MVZCCGP-Cst26_II-F01,MVZCCGP-Cst26_II-F01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst26_II-F01_R1.fastq.gz,MVZCCGP-Cst26_II-F01_R2.fastq.gz,36.99307,-119.21489,41-Cyanocitta,MVZCCGP-Cst26_II-F01,41-Cyanocitta
MVZCCGP-Cst31_II-A02,MVZCCGP-Cst31_II-A02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst31_II-A02_R1.fastq.gz,MVZCCGP-Cst31_II-A02_R2.fastq.gz,40.2153,-124.12624,41-Cyanocitta,MVZCCGP-Cst31_II-A02,41-Cyanocitta
MVZCCGP-Cst32_II-B02,MVZCCGP-Cst32_II-B02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst32_II-B02_R1.fastq.gz,MVZCCGP-Cst32_II-B02_R2.fastq.gz,40.21679,-124.12227,41-Cyanocitta,MVZCCGP-Cst32_II-B02,41-Cyanocitta
MVZCCGP-Cst33_II-C02,MVZCCGP-Cst33_II-C02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst33_II-C02_R1.fastq.gz,MVZCCGP-Cst33_II-C02_R2.fastq.gz,40.81656,-123.69754,41-Cyanocitta,MVZCCGP-Cst33_II-C02,41-Cyanocitta
MVZCCGP-Cst34_I-E03,MVZCCGP-Cst34_I-E03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst34_I-E03_R1.fastq.gz,MVZCCGP-Cst34_I-E03_R2.fastq.gz,40.83042,-123.68797,41-Cyanocitta,MVZCCGP-Cst34_I-E03,41-Cyanocitta
MVZCCGP-Cst35_I-F03,MVZCCGP-Cst35_I-F03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst35_I-F03_R1.fastq.gz,MVZCCGP-Cst35_I-F03_R2.fastq.gz,40.83051,-123.68301,41-Cyanocitta,MVZCCGP-Cst35_I-F03,41-Cyanocitta
MVZCCGP-Cst37_I-G03,MVZCCGP-Cst37_I-G03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst37_I-G03_R1.fastq.gz,MVZCCGP-Cst37_I-G03_R2.fastq.gz,39.09408,-123.09245,41-Cyanocitta,MVZCCGP-Cst37_I-G03,41-Cyanocitta
MVZCCGP-Cst38_II-D02,MVZCCGP-Cst38_II-D02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst38_II-D02_R1.fastq.gz,MVZCCGP-Cst38_II-D02_R2.fastq.gz,39.09408,-123.09245,41-Cyanocitta,MVZCCGP-Cst38_II-D02,41-Cyanocitta
MVZCCGP-Cst39_I-H03,MVZCCGP-Cst39_I-H03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst39_I-H03_R1.fastq.gz,MVZCCGP-Cst39_I-H03_R2.fastq.gz,40.54848,-120.78191,41-Cyanocitta,MVZCCGP-Cst39_I-H03,41-Cyanocitta
MVZCCGP-Cst40_I-A04,MVZCCGP-Cst40_I-A04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst40_I-A04_R1.fastq.gz,MVZCCGP-Cst40_I-A04_R2.fastq.gz,40.52463,-120.75919,41-Cyanocitta,MVZCCGP-Cst40_I-A04,41-Cyanocitta
MVZCCGP-Cst41_I-B04,MVZCCGP-Cst41_I-B04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst41_I-B04_R1.fastq.gz,MVZCCGP-Cst41_I-B04_R2.fastq.gz,40.5292,-121.56381,41-Cyanocitta,MVZCCGP-Cst41_I-B04,41-Cyanocitta
MVZCCGP-Cst42_I-C04,MVZCCGP-Cst42_I-C04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst42_I-C04_R1.fastq.gz,MVZCCGP-Cst42_I-C04_R2.fastq.gz,40.54937,-120.80754,41-Cyanocitta,MVZCCGP-Cst42_I-C04,41-Cyanocitta
MVZCCGP-Cst43_I-D04,MVZCCGP-Cst43_I-D04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst43_I-D04_R1.fastq.gz,MVZCCGP-Cst43_I-D04_R2.fastq.gz,40.56844,-121.30626,41-Cyanocitta,MVZCCGP-Cst43_I-D04,41-Cyanocitta
MVZCCGP-Cst44_I-E04,MVZCCGP-Cst44_I-E04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst44_I-E04_R1.fastq.gz,MVZCCGP-Cst44_I-E04_R2.fastq.gz,40.66361,-120.79268,41-Cyanocitta,MVZCCGP-Cst44_I-E04,41-Cyanocitta
MVZCCGP-Cst45_I-F04,MVZCCGP-Cst45_I-F04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst45_I-F04_R1.fastq.gz,MVZCCGP-Cst45_I-F04_R2.fastq.gz,40.57979,-121.27683,41-Cyanocitta,MVZCCGP-Cst45_I-F04,41-Cyanocitta
MVZCCGP-Cst47_I-G04,MVZCCGP-Cst47_I-G04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst47_I-G04_R1.fastq.gz,MVZCCGP-Cst47_I-G04_R2.fastq.gz,40.94525,-120.14136,41-Cyanocitta,MVZCCGP-Cst47_I-G04,41-Cyanocitta
MVZCCGP-Cst48_II-E02,MVZCCGP-Cst48_II-E02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst48_II-E02_R1.fastq.gz,MVZCCGP-Cst48_II-E02_R2.fastq.gz,40.94525,-120.14136,41-Cyanocitta,MVZCCGP-Cst48_II-E02,41-Cyanocitta
MVZCCGP-Cst49_II-F02,MVZCCGP-Cst49_II-F02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst49_II-F02_R1.fastq.gz,MVZCCGP-Cst49_II-F02_R2.fastq.gz,40.57979,-121.27683,41-Cyanocitta,MVZCCGP-Cst49_II-F02,41-Cyanocitta
MVZCCGP-Cst50_II-G02,MVZCCGP-Cst50_II-G02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst50_II-G02_R1.fastq.gz,MVZCCGP-Cst50_II-G02_R2.fastq.gz,34.35097,-117.93412,41-Cyanocitta,MVZCCGP-Cst50_II-G02,41-Cyanocitta
