BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP_Mme17-II_B01,MVZCCGP_Mme17-II_B01_S107,GCA_022749695.1,MVZCCGP_Mme17-II_B01_S107_R1_001.fastq.gz,MVZCCGP_Mme17-II_B01_S107_R2_001.fastq.gz,40.28401,-124.35287,41-Melospiza,MVZCCGP_Mme17-II_B01_S107,41-Melospiza
MVZCCGP_Mme18-II_C01,MVZCCGP_Mme18-II_C01_S106,GCA_022749695.1,MVZCCGP_Mme18-II_C01_S106_R1_001.fastq.gz,MVZCCGP_Mme18-II_C01_S106_R2_001.fastq.gz,40.28401,-124.35287,41-Melospiza,MVZCCGP_Mme18-II_C01_S106,41-Melospiza
MVZCCGP_Mme29-II_D01,MVZCCGP_Mme29-II_D01_S105,GCA_022749695.1,MVZCCGP_Mme29-II_D01_S105_R1_001.fastq.gz,MVZCCGP_Mme29-II_D01_S105_R2_001.fastq.gz,40.9338,-120.20491,41-Melospiza,MVZCCGP_Mme29-II_D01_S105,41-Melospiza
MVZCCGP_Mme48-II_E01,MVZCCGP_Mme48-II_E01_S104,GCA_022749695.1,MVZCCGP_Mme48-II_E01_S104_R1_001.fastq.gz,MVZCCGP_Mme48-II_E01_S104_R2_001.fastq.gz,41.98455,-120.17475,41-Melospiza,MVZCCGP_Mme48-II_E01_S104,41-Melospiza
MVZCCGP_Mme49-II_F01,MVZCCGP_Mme49-II_F01_S103,GCA_022749695.1,MVZCCGP_Mme49-II_F01_S103_R1_001.fastq.gz,MVZCCGP_Mme49-II_F01_S103_R2_001.fastq.gz,41.989206,-120.172551,41-Melospiza,MVZCCGP_Mme49-II_F01_S103,41-Melospiza
MVZCCGP_Mme50-II_G01,MVZCCGP_Mme50-II_G01_S102,GCA_022749695.1,MVZCCGP_Mme50-II_G01_S102_R1_001.fastq.gz,MVZCCGP_Mme50-II_G01_S102_R2_001.fastq.gz,41.989206,-120.172551,41-Melospiza,MVZCCGP_Mme50-II_G01_S102,41-Melospiza
MVZCCGP_Mme54-II_H01,MVZCCGP_Mme54-II_H01_S101,GCA_022749695.1,MVZCCGP_Mme54-II_H01_S101_R1_001.fastq.gz,MVZCCGP_Mme54-II_H01_S101_R2_001.fastq.gz,38.8145,-122.3491,41-Melospiza,MVZCCGP_Mme54-II_H01_S101,41-Melospiza
MVZCCGP_Mme124m-II_A02,MVZCCGP_Mme124m-II_A02_S100,GCA_022749695.1,MVZCCGP_Mme124m-II_A02_S100_R1_001.fastq.gz,MVZCCGP_Mme124m-II_A02_S100_R2_001.fastq.gz,38.208887,-122.02861,41-Melospiza,MVZCCGP_Mme124m-II_A02_S100,41-Melospiza
MVZCCGP_Mme125m-II_B02,MVZCCGP_Mme125m-II_B02_S99,GCA_022749695.1,MVZCCGP_Mme125m-II_B02_S99_R1_001.fastq.gz,MVZCCGP_Mme125m-II_B02_S99_R2_001.fastq.gz,38.208887,-122.02861,41-Melospiza,MVZCCGP_Mme125m-II_B02_S99,41-Melospiza
MVZCCGP_Mme126m-II_C02,MVZCCGP_Mme126m-II_C02_S98,GCA_022749695.1,MVZCCGP_Mme126m-II_C02_S98_R1_001.fastq.gz,MVZCCGP_Mme126m-II_C02_S98_R2_001.fastq.gz,38.128226,-122.091882,41-Melospiza,MVZCCGP_Mme126m-II_C02_S98,41-Melospiza
