BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP-Psa111_I-G11,MVZCCGP-Psa111_I-G11_S141,GCA_022577445.1,MVZCCGP-Psa111_I-G11_S141_R1_001.fastq.gz,MVZCCGP-Psa111_I-G11_S141_R2_001.fastq.gz,36.826074,-118.2148,41-Passerculus,MVZCCGP-Psa111_I-G11_S141,41-Passerculus
MVZCCGP-Psa112_II-A05,MVZCCGP-Psa112_II-A05_S94,GCA_022577445.1,MVZCCGP-Psa112_II-A05_S94_R1_001.fastq.gz,MVZCCGP-Psa112_II-A05_S94_R2_001.fastq.gz,37.88312,-118.71913,41-Passerculus,MVZCCGP-Psa112_II-A05_S94,41-Passerculus
MVZCCGP-Psa113_II-B05,MVZCCGP-Psa113_II-B05_S87,GCA_022577445.1,MVZCCGP-Psa113_II-B05_S87_R1_001.fastq.gz,MVZCCGP-Psa113_II-B05_S87_R2_001.fastq.gz,37.88312,-118.71913,41-Passerculus,MVZCCGP-Psa113_II-B05_S87,41-Passerculus
MVZCCGP-Psa114_II-C05,MVZCCGP-Psa114_II-C05_S86,GCA_022577445.1,MVZCCGP-Psa114_II-C05_S86_R1_001.fastq.gz,MVZCCGP-Psa114_II-C05_S86_R2_001.fastq.gz,37.88312,-118.71913,41-Passerculus,MVZCCGP-Psa114_II-C05_S86,41-Passerculus
MVZCCGP-Psa115_I-B04,MVZCCGP-Psa115_I-B04_S145,GCA_022577445.1,MVZCCGP-Psa115_I-B04_S145_R1_001.fastq.gz,MVZCCGP-Psa115_I-B04_S145_R2_001.fastq.gz,41.4601244,-120.14874,41-Passerculus,MVZCCGP-Psa115_I-B04_S145,41-Passerculus
MVZCCGP-Psa116_I-G09,MVZCCGP-Psa116_I-G09_S16,GCA_022577445.1,MVZCCGP-Psa116_I-G09_S16_R1_001.fastq.gz,MVZCCGP-Psa116_I-G09_S16_R2_001.fastq.gz,41.4601244,-120.14874,41-Passerculus,MVZCCGP-Psa116_I-G09_S16,41-Passerculus
MVZCCGP-Psa117_I-H09,MVZCCGP-Psa117_I-H09_S15,GCA_022577445.1,MVZCCGP-Psa117_I-H09_S15_R1_001.fastq.gz,MVZCCGP-Psa117_I-H09_S15_R2_001.fastq.gz,37.733492,-122.22827,41-Passerculus,MVZCCGP-Psa117_I-H09_S15,41-Passerculus
MVZCCGP-Psa118_II-D05,MVZCCGP-Psa118_II-D05_S85,GCA_022577445.1,MVZCCGP-Psa118_II-D05_S85_R1_001.fastq.gz,MVZCCGP-Psa118_II-D05_S85_R2_001.fastq.gz,39.42663,-120.43253,41-Passerculus,MVZCCGP-Psa118_II-D05_S85,41-Passerculus
MVZCCGP-Psa119_II-E05,MVZCCGP-Psa119_II-E05_S92,GCA_022577445.1,MVZCCGP-Psa119_II-E05_S92_R1_001.fastq.gz,MVZCCGP-Psa119_II-E05_S92_R2_001.fastq.gz,39.42663,-120.43253,41-Passerculus,MVZCCGP-Psa119_II-E05_S92,41-Passerculus
MVZCCGP-Psa120_I-A10,MVZCCGP-Psa120_I-A10_S14,GCA_022577445.1,MVZCCGP-Psa120_I-A10_S14_R1_001.fastq.gz,MVZCCGP-Psa120_I-A10_S14_R2_001.fastq.gz,37.46977,-122.22379,41-Passerculus,MVZCCGP-Psa120_I-A10_S14,41-Passerculus
MVZCCGP-Psa121_II-F05,MVZCCGP-Psa121_II-F05_S91,GCA_022577445.1,MVZCCGP-Psa121_II-F05_S91_R1_001.fastq.gz,MVZCCGP-Psa121_II-F05_S91_R2_001.fastq.gz,39.93737,-120.64689,41-Passerculus,MVZCCGP-Psa121_II-F05_S91,41-Passerculus
MVZCCGP-Psa122_II-G05,MVZCCGP-Psa122_II-G05_S90,GCA_022577445.1,MVZCCGP-Psa122_II-G05_S90_R1_001.fastq.gz,MVZCCGP-Psa122_II-G05_S90_R2_001.fastq.gz,39.93737,-120.64689,41-Passerculus,MVZCCGP-Psa122_II-G05_S90,41-Passerculus
MVZCCGP-Psa123_II-H05,MVZCCGP-Psa123_II-H05_S89,GCA_022577445.1,MVZCCGP-Psa123_II-H05_S89_R1_001.fastq.gz,MVZCCGP-Psa123_II-H05_S89_R2_001.fastq.gz,39.94243,-120.65554,41-Passerculus,MVZCCGP-Psa123_II-H05_S89,41-Passerculus
MVZCCGP-Psa124_II-A06,MVZCCGP-Psa124_II-A06_S88,GCA_022577445.1,MVZCCGP-Psa124_II-A06_S88_R1_001.fastq.gz,MVZCCGP-Psa124_II-A06_S88_R2_001.fastq.gz,33.663,-116.675,41-Passerculus,MVZCCGP-Psa124_II-A06_S88,41-Passerculus
MVZCCGP-Psa125_II-B06,MVZCCGP-Psa125_II-B06_S84,GCA_022577445.1,MVZCCGP-Psa125_II-B06_S84_R1_001.fastq.gz,MVZCCGP-Psa125_II-B06_S84_R2_001.fastq.gz,33.663,-116.675,41-Passerculus,MVZCCGP-Psa125_II-B06_S84,41-Passerculus
MVZCCGP-Psa126_I-H06,MVZCCGP-Psa126_I-H06_S52,GCA_022577445.1,MVZCCGP-Psa126_I-H06_S52_R1_001.fastq.gz,MVZCCGP-Psa126_I-H06_S52_R2_001.fastq.gz,34.272,-116.813,41-Passerculus,MVZCCGP-Psa126_I-H06_S52,41-Passerculus
MVZCCGP-Psa127_I-A07,MVZCCGP-Psa127_I-A07_S51,GCA_022577445.1,MVZCCGP-Psa127_I-A07_S51_R1_001.fastq.gz,MVZCCGP-Psa127_I-A07_S51_R2_001.fastq.gz,34.272,-116.813,41-Passerculus,MVZCCGP-Psa127_I-A07_S51,41-Passerculus
MVZCCGP-Psa128_I-B07,MVZCCGP-Psa128_I-B07_S50,GCA_022577445.1,MVZCCGP-Psa128_I-B07_S50_R1_001.fastq.gz,MVZCCGP-Psa128_I-B07_S50_R2_001.fastq.gz,34.272,-116.813,41-Passerculus,MVZCCGP-Psa128_I-B07_S50,41-Passerculus
MVZCCGP-Psa129_I-C07,MVZCCGP-Psa129_I-C07_S49,GCA_022577445.1,MVZCCGP-Psa129_I-C07_S49_R1_001.fastq.gz,MVZCCGP-Psa129_I-C07_S49_R2_001.fastq.gz,34.272,-116.813,41-Passerculus,MVZCCGP-Psa129_I-C07_S49,41-Passerculus
MVZCCGP-Psa130_I-B10,MVZCCGP-Psa130_I-B10_S13,GCA_022577445.1,MVZCCGP-Psa130_I-B10_S13_R1_001.fastq.gz,MVZCCGP-Psa130_I-B10_S13_R2_001.fastq.gz,37.46977,-122.22379,41-Passerculus,MVZCCGP-Psa130_I-B10_S13,41-Passerculus
