BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject,SampleType
MVZCCGP_Mfo142-II_E04,MVZCCGP_Mfo142-II_E04_3,GCA_026170545.1,MVZCCGP-Mfo142_S95_L004_R1_001.fastq.gz,MVZCCGP-Mfo142_S95_L004_R2_001.fastq.gz,40.60699,-122.89027,41-Melanerpes,MVZCCGP_Mfo142-II_E04_3,41-Melanerpes,
MVZCCGP_Mfo160-II_E06,MVZCCGP_Mfo160-II_E06_1,GCA_026170545.1,MVZCCGP_Mfo160-II_E06_R1.fastq.gz,MVZCCGP_Mfo160-II_E06_R2.fastq.gz,35.27542,-120.40488,41-Melanerpes,MVZCCGP_Mfo160-II_E06_1,41-Melanerpes,
MVZCCGP_Mfo160-II_E06,MVZCCGP_Mfo160-II_E06_3,GCA_026170545.1,MVZCCGP-Mfo160_S83_L004_R1_001.fastq.gz,MVZCCGP-Mfo160_S83_L004_R2_001.fastq.gz,35.27542,-120.40488,41-Melanerpes,MVZCCGP_Mfo160-II_E06_3,41-Melanerpes,
MVZCCGP_Mfo23-I_H02,MVZCCGP_Mfo23-I_H02_1,GCA_026170545.1,MVZCCGP_Mfo23-I_H02_R1.fastq.gz,MVZCCGP_Mfo23-I_H02_R2.fastq.gz,39.5939271,-122.5361061,41-Melanerpes,MVZCCGP_Mfo23-I_H02_1,41-Melanerpes,
MVZCCGP_Mfo29-I_D03,MVZCCGP_Mfo29-I_D03_1,GCA_026170545.1,MVZCCGP_Mfo29-I_D03_R1.fastq.gz,MVZCCGP_Mfo29-I_D03_R2.fastq.gz,35.62461,-118.51372,41-Melanerpes,MVZCCGP_Mfo29-I_D03_1,41-Melanerpes,
MVZCCGP_Mfo29-I_D03,MVZCCGP_Mfo29-I_D03_3,GCA_026170545.1,MVZCCGP-Mfo29_S68_L004_R1_001.fastq.gz,MVZCCGP-Mfo29_S68_L004_R2_001.fastq.gz,35.62461,-118.51372,41-Melanerpes,MVZCCGP_Mfo29-I_D03_3,41-Melanerpes,
MVZCCGP_Mfo33-I_F03,MVZCCGP_Mfo33-I_F03_1,GCA_026170545.1,MVZCCGP_Mfo33-I_F03_R1.fastq.gz,MVZCCGP_Mfo33-I_F03_R2.fastq.gz,38.885592,-122.7821,41-Melanerpes,MVZCCGP_Mfo33-I_F03_1,41-Melanerpes,
MVZCCGP_Mfo33-I_F03,MVZCCGP_Mfo33-I_F03_3,GCA_026170545.1,MVZCCGP-Mfo33_S66_L004_R1_001.fastq.gz,MVZCCGP-Mfo33_S66_L004_R2_001.fastq.gz,38.885592,-122.7821,41-Melanerpes,MVZCCGP_Mfo33-I_F03_3,41-Melanerpes,
MVZCCGP_Mfo62-I_H06,MVZCCGP_Mfo62-I_H06_1,GCA_026170545.1,MVZCCGP_Mfo62-I_H06_R1.fastq.gz,MVZCCGP_Mfo62-I_H06_R2.fastq.gz,39.79735,-123.19583,41-Melanerpes,MVZCCGP_Mfo62-I_H06_1,41-Melanerpes,
MVZCCGP_Mfo86-I_G09,MVZCCGP_Mfo86-I_G09_1,GCA_026170545.1,MVZCCGP_Mfo86-I_G09_R1.fastq.gz,MVZCCGP_Mfo86-I_G09_R2.fastq.gz,34.1468,-116.982,41-Melanerpes,MVZCCGP_Mfo86-I_G09_1,41-Melanerpes,
MVZCCGP_Mfo86-I_G09,MVZCCGP_Mfo86-I_G09_3,GCA_026170545.1,MVZCCGP-Mfo86_S77_L004_R1_001.fastq.gz,MVZCCGP-Mfo86_S77_L004_R2_001.fastq.gz,34.1468,-116.982,41-Melanerpes,MVZCCGP_Mfo86-I_G09_3,41-Melanerpes,
MVZCCGP_Mfo87-I_H09,MVZCCGP_Mfo87-I_H09_1,GCA_026170545.1,MVZCCGP_Mfo87-I_H09_R1.fastq.gz,MVZCCGP_Mfo87-I_H09_R2.fastq.gz,34.1694,-116.901,41-Melanerpes,MVZCCGP_Mfo87-I_H09_1,41-Melanerpes,
MVZCCGP_Mfo109-I_D12,MVZCCGP_Mfo109-I_D12_1,GCA_026170545.1,MVZCCGP_Mfo109-I_D12_R1.fastq.gz,MVZCCGP_Mfo109-I_D12_R2.fastq.gz,33.204,-117.024,41-Melanerpes,MVZCCGP_Mfo109-I_D12_1,41-Melanerpes,
MVZCCGP_Mfo109-I_D12,MVZCCGP_Mfo109-I_D12_3,GCA_026170545.1,MVZCCGP-Mfo109_S50_L004_R1_001.fastq.gz,MVZCCGP-Mfo109_S50_L004_R2_001.fastq.gz,33.204,-117.024,41-Melanerpes,MVZCCGP_Mfo109-I_D12_3,41-Melanerpes,
MVZCCGP_Mfo16-II_B01,MVZCCGP_Mfo16-II_B01_1,GCA_026170545.1,MVZCCGP_Mfo16-II_B01_R1.fastq.gz,MVZCCGP_Mfo16-II_B01_R2.fastq.gz,37.92883,-122.16375,41-Melanerpes,MVZCCGP_Mfo16-II_B01_1,41-Melanerpes,
MVZCCGP_Mfo16-II_B01,MVZCCGP_Mfo16-II_B01_3,GCA_026170545.1,MVZCCGP-Mfo16_S45_L004_R1_001.fastq.gz,MVZCCGP-Mfo16_S45_L004_R2_001.fastq.gz,37.92883,-122.16375,41-Melanerpes,MVZCCGP_Mfo16-II_B01_3,41-Melanerpes,
MVZCCGP_Mfo122-II_B02,MVZCCGP_Mfo122-II_B02_1,GCA_026170545.1,MVZCCGP_Mfo122-II_B02_R1.fastq.gz,MVZCCGP_Mfo122-II_B02_R2.fastq.gz,40.558075,-122.238722,41-Melanerpes,MVZCCGP_Mfo122-II_B02_1,41-Melanerpes,
