BioSample,LibraryName,refGenome,Organism,fq1,fq2,lat,long,Run,BioProject
ASI08,ASI08_S18_L001,GCA_022045235.1,Haliotis cracherodii,ASI08_S18_L001_R1_001.fastq.gz,ASI08_S18_L001_R2_001.fastq.gz,36.62968297,-121.938549,ASI08_S18_L001,x
BCR09,BCR09_S21_L002,GCA_022045235.1,Haliotis cracherodii,BCR09_S21_L002_R1_001.fastq.gz,BCR09_S21_L002_R2_001.fastq.gz,36.0698671,-121.5989918,BCR09_S21_L002,x
BCR09,BCR09_S21_L001,GCA_022045235.1,Haliotis cracherodii,BCR09_S21_L001_R1_001.fastq.gz,BCR09_S21_L001_R2_001.fastq.gz,36.0698671,-121.5989918,BCR09_S21_L001,x
BCR09,BCR09_S21_L003,GCA_022045235.1,Haliotis cracherodii,BCR09_S21_L003_R1_001.fastq.gz,BCR09_S21_L003_R2_001.fastq.gz,36.0698671,-121.5989918,BCR09_S21_L003,x
BCR09,BCR09_S21_L004,GCA_022045235.1,Haliotis cracherodii,BCR09_S21_L004_R1_001.fastq.gz,BCR09_S21_L004_R2_001.fastq.gz,36.0698671,-121.5989918,BCR09_S21_L004,x
BOA01,BOA01_S22_L003,GCA_022045235.1,Haliotis cracherodii,BOA01_S22_L003_R1_001.fastq.gz,BOA01_S22_L003_R2_001.fastq.gz,34.55671401,-120.601681,BOA01_S22_L003,x
BOA01,BOA01_S22_L001,GCA_022045235.1,Haliotis cracherodii,BOA01_S22_L001_R1_001.fastq.gz,BOA01_S22_L001_R2_001.fastq.gz,34.55671401,-120.601681,BOA01_S22_L001,x
BOA01,BOA01_S22_L004,GCA_022045235.1,Haliotis cracherodii,BOA01_S22_L004_R1_001.fastq.gz,BOA01_S22_L004_R2_001.fastq.gz,34.55671401,-120.601681,BOA01_S22_L004,x
BOA01,BOA01_S22_L002,GCA_022045235.1,Haliotis cracherodii,BOA01_S22_L002_R1_001.fastq.gz,BOA01_S22_L002_R2_001.fastq.gz,34.55671401,-120.601681,BOA01_S22_L002,x
BOA07,BOA07_S23_L002,GCA_022045235.1,Haliotis cracherodii,BOA07_S23_L002_R1_001.fastq.gz,BOA07_S23_L002_R2_001.fastq.gz,34.55666497,-120.606525,BOA07_S23_L002,x
