BioSample,LibraryName,refGenome,Organism,fq1,fq2,lat,long,Run,BioProject
DOL02,DOL02_S45_L001,GCA_022045235.1,Haliotis cracherodii,DOL02_S45_L001_R1_001.fastq.gz,DOL02_S45_L001_R2_001.fastq.gz,36.1066499,-121.6237484,DOL02_S45_L001,x
DOL02,DOL02_S45_L003,GCA_022045235.1,Haliotis cracherodii,DOL02_S45_L003_R1_001.fastq.gz,DOL02_S45_L003_R2_001.fastq.gz,36.1066499,-121.6237484,DOL02_S45_L003,x
DOL02,DOL02_S45_L002,GCA_022045235.1,Haliotis cracherodii,DOL02_S45_L002_R1_001.fastq.gz,DOL02_S45_L002_R2_001.fastq.gz,36.1066499,-121.6237484,DOL02_S45_L002,x
DOL08,DOL08_S46_L003,GCA_022045235.1,Haliotis cracherodii,DOL08_S46_L003_R1_001.fastq.gz,DOL08_S46_L003_R2_001.fastq.gz,36.1066499,-121.6237484,DOL08_S46_L003,x
DOL08,DOL08_S46_L002,GCA_022045235.1,Haliotis cracherodii,DOL08_S46_L002_R1_001.fastq.gz,DOL08_S46_L002_R2_001.fastq.gz,36.1066499,-121.6237484,DOL08_S46_L002,x
DOL08,DOL08_S46_L004,GCA_022045235.1,Haliotis cracherodii,DOL08_S46_L004_R1_001.fastq.gz,DOL08_S46_L004_R2_001.fastq.gz,36.1066499,-121.6237484,DOL08_S46_L004,x
DOL08,DOL08_S46_L001,GCA_022045235.1,Haliotis cracherodii,DOL08_S46_L001_R1_001.fastq.gz,DOL08_S46_L001_R2_001.fastq.gz,36.1066499,-121.6237484,DOL08_S46_L001,x
MOL09,MOL09_S47_L002,GCA_022045235.1,Haliotis cracherodii,MOL09_S47_L002_R1_001.fastq.gz,MOL09_S47_L002_R2_001.fastq.gz,36.28031996,-121.863379,MOL09_S47_L002,x
MOL09,MOL09_S47_L004,GCA_022045235.1,Haliotis cracherodii,MOL09_S47_L004_R1_001.fastq.gz,MOL09_S47_L004_R2_001.fastq.gz,36.28031996,-121.863379,MOL09_S47_L004,x
MOL09,MOL09_S47_L003,GCA_022045235.1,Haliotis cracherodii,MOL09_S47_L003_R1_001.fastq.gz,MOL09_S47_L003_R2_001.fastq.gz,36.28031996,-121.863379,MOL09_S47_L003,x
MOL09,MOL09_S47_L001,GCA_022045235.1,Haliotis cracherodii,MOL09_S47_L001_R1_001.fastq.gz,MOL09_S47_L001_R2_001.fastq.gz,36.28031996,-121.863379,MOL09_S47_L001,x
PEB01,PEB01_S48_L001,GCA_022045235.1,Haliotis cracherodii,PEB01_S48_L001_R1_001.fastq.gz,PEB01_S48_L001_R2_001.fastq.gz,37.23263,-122.41607,PEB01_S48_L001,x
PEB01,PEB01_S48_L002,GCA_022045235.1,Haliotis cracherodii,PEB01_S48_L002_R1_001.fastq.gz,PEB01_S48_L002_R2_001.fastq.gz,37.23263,-122.41607,PEB01_S48_L002,x
PEB01,PEB01_S48_L004,GCA_022045235.1,Haliotis cracherodii,PEB01_S48_L004_R1_001.fastq.gz,PEB01_S48_L004_R2_001.fastq.gz,37.23263,-122.41607,PEB01_S48_L004,x
PEB01,PEB01_S48_L003,GCA_022045235.1,Haliotis cracherodii,PEB01_S48_L003_R1_001.fastq.gz,PEB01_S48_L003_R2_001.fastq.gz,37.23263,-122.41607,PEB01_S48_L003,x
PSN01,PSN01_S49_L002,GCA_022045235.1,Haliotis cracherodii,PSN01_S49_L002_R1_001.fastq.gz,PSN01_S49_L002_R2_001.fastq.gz,35.72860398,-121.318827,PSN01_S49_L002,x
PSN01,PSN01_S49_L003,GCA_022045235.1,Haliotis cracherodii,PSN01_S49_L003_R1_001.fastq.gz,PSN01_S49_L003_R2_001.fastq.gz,35.72860398,-121.318827,PSN01_S49_L003,x
PSN01,PSN01_S49_L004,GCA_022045235.1,Haliotis cracherodii,PSN01_S49_L004_R1_001.fastq.gz,PSN01_S49_L004_R2_001.fastq.gz,35.72860398,-121.318827,PSN01_S49_L004,x
PSN01,PSN01_S49_L001,GCA_022045235.1,Haliotis cracherodii,PSN01_S49_L001_R1_001.fastq.gz,PSN01_S49_L001_R2_001.fastq.gz,35.72860398,-121.318827,PSN01_S49_L001,x
PSN06B,PSN06B_S50_L003,GCA_022045235.1,Haliotis cracherodii,PSN06B_S50_L003_R1_001.fastq.gz,PSN06B_S50_L003_R2_001.fastq.gz,35.72858697,-121.318823,PSN06B_S50_L003,x
PSN06B,PSN06B_S50_L002,GCA_022045235.1,Haliotis cracherodii,PSN06B_S50_L002_R1_001.fastq.gz,PSN06B_S50_L002_R2_001.fastq.gz,35.72858697,-121.318823,PSN06B_S50_L002,x
PSN06B,PSN06B_S50_L004,GCA_022045235.1,Haliotis cracherodii,PSN06B_S50_L004_R1_001.fastq.gz,PSN06B_S50_L004_R2_001.fastq.gz,35.72858697,-121.318823,PSN06B_S50_L004,x
PSN06B,PSN06B_S50_L001,GCA_022045235.1,Haliotis cracherodii,PSN06B_S50_L001_R1_001.fastq.gz,PSN06B_S50_L001_R2_001.fastq.gz,35.72858697,-121.318823,PSN06B_S50_L001,x
SMOH07,SMOH07_S51_L001,GCA_022045235.1,Haliotis cracherodii,SMOH07_S51_L001_R1_001.fastq.gz,SMOH07_S51_L001_R2_001.fastq.gz,34.05203,-120.40758,SMOH07_S51_L001,x
SMOH07,SMOH07_S51_L003,GCA_022045235.1,Haliotis cracherodii,SMOH07_S51_L003_R1_001.fastq.gz,SMOH07_S51_L003_R2_001.fastq.gz,34.05203,-120.40758,SMOH07_S51_L003,x
SMOH07,SMOH07_S51_L002,GCA_022045235.1,Haliotis cracherodii,SMOH07_S51_L002_R1_001.fastq.gz,SMOH07_S51_L002_R2_001.fastq.gz,34.05203,-120.40758,SMOH07_S51_L002,x
SMOH07,SMOH07_S51_L004,GCA_022045235.1,Haliotis cracherodii,SMOH07_S51_L004_R1_001.fastq.gz,SMOH07_S51_L004_R2_001.fastq.gz,34.05203,-120.40758,SMOH07_S51_L004,x
SNTS03,SNTS03_S52_L002,GCA_022045235.1,Haliotis cracherodii,SNTS03_S52_L002_R1_001.fastq.gz,SNTS03_S52_L002_R2_001.fastq.gz,33.284988,-119.529905,SNTS03_S52_L002,x
SNTS03,SNTS03_S52_L004,GCA_022045235.1,Haliotis cracherodii,SNTS03_S52_L004_R1_001.fastq.gz,SNTS03_S52_L004_R2_001.fastq.gz,33.284988,-119.529905,SNTS03_S52_L004,x
SNTS03,SNTS03_S52_L001,GCA_022045235.1,Haliotis cracherodii,SNTS03_S52_L001_R1_001.fastq.gz,SNTS03_S52_L001_R2_001.fastq.gz,33.284988,-119.529905,SNTS03_S52_L001,x
SNTS03,SNTS03_S52_L003,GCA_022045235.1,Haliotis cracherodii,SNTS03_S52_L003_R1_001.fastq.gz,SNTS03_S52_L003_R2_001.fastq.gz,33.284988,-119.529905,SNTS03_S52_L003,x
SNTS04,SNTS04_S53_L003,GCA_022045235.1,Haliotis cracherodii,SNTS04_S53_L003_R1_001.fastq.gz,SNTS04_S53_L003_R2_001.fastq.gz,33.284988,-119.529905,SNTS04_S53_L003,x
SNTS04,SNTS04_S53_L002,GCA_022045235.1,Haliotis cracherodii,SNTS04_S53_L002_R1_001.fastq.gz,SNTS04_S53_L002_R2_001.fastq.gz,33.284988,-119.529905,SNTS04_S53_L002,x
SNTS04,SNTS04_S53_L004,GCA_022045235.1,Haliotis cracherodii,SNTS04_S53_L004_R1_001.fastq.gz,SNTS04_S53_L004_R2_001.fastq.gz,33.284988,-119.529905,SNTS04_S53_L004,x
SNTS04,SNTS04_S53_L001,GCA_022045235.1,Haliotis cracherodii,SNTS04_S53_L001_R1_001.fastq.gz,SNTS04_S53_L001_R2_001.fastq.gz,33.284988,-119.529905,SNTS04_S53_L001,x
SOB08,SOB08_S54_L003,GCA_022045235.1,Haliotis cracherodii,SOB08_S54_L003_R1_001.fastq.gz,SOB08_S54_L003_R2_001.fastq.gz,36.447925,-121.928663,SOB08_S54_L003,x
SOB08,SOB08_S54_L004,GCA_022045235.1,Haliotis cracherodii,SOB08_S54_L004_R1_001.fastq.gz,SOB08_S54_L004_R2_001.fastq.gz,36.447925,-121.928663,SOB08_S54_L004,x
SOB08,SOB08_S54_L001,GCA_022045235.1,Haliotis cracherodii,SOB08_S54_L001_R1_001.fastq.gz,SOB08_S54_L001_R2_001.fastq.gz,36.447925,-121.928663,SOB08_S54_L001,x
SOB08,SOB08_S54_L002,GCA_022045235.1,Haliotis cracherodii,SOB08_S54_L002_R1_001.fastq.gz,SOB08_S54_L002_R2_001.fastq.gz,36.447925,-121.928663,SOB08_S54_L002,x
SRFP13,SRFP13_S55_L001,GCA_022045235.1,Haliotis cracherodii,SRFP13_S55_L001_R1_001.fastq.gz,SRFP13_S55_L001_R2_001.fastq.gz,33.914517,-120.050383,SRFP13_S55_L001,x
SRFP13,SRFP13_S55_L002,GCA_022045235.1,Haliotis cracherodii,SRFP13_S55_L002_R1_001.fastq.gz,SRFP13_S55_L002_R2_001.fastq.gz,33.914517,-120.050383,SRFP13_S55_L002,x
SRFP13,SRFP13_S55_L003,GCA_022045235.1,Haliotis cracherodii,SRFP13_S55_L003_R1_001.fastq.gz,SRFP13_S55_L003_R2_001.fastq.gz,33.914517,-120.050383,SRFP13_S55_L003,x
SRFP13,SRFP13_S55_L004,GCA_022045235.1,Haliotis cracherodii,SRFP13_S55_L004_R1_001.fastq.gz,SRFP13_S55_L004_R2_001.fastq.gz,33.914517,-120.050383,SRFP13_S55_L004,x
SRFP19,SRFP19_S56_L004,GCA_022045235.1,Haliotis cracherodii,SRFP19_S56_L004_R1_001.fastq.gz,SRFP19_S56_L004_R2_001.fastq.gz,33.914467,-120.050283,SRFP19_S56_L004,x
SRFP19,SRFP19_S56_L003,GCA_022045235.1,Haliotis cracherodii,SRFP19_S56_L003_R1_001.fastq.gz,SRFP19_S56_L003_R2_001.fastq.gz,33.914467,-120.050283,SRFP19_S56_L003,x
SRFP19,SRFP19_S56_L002,GCA_022045235.1,Haliotis cracherodii,SRFP19_S56_L002_R1_001.fastq.gz,SRFP19_S56_L002_R2_001.fastq.gz,33.914467,-120.050283,SRFP19_S56_L002,x
SRFP19,SRFP19_S56_L001,GCA_022045235.1,Haliotis cracherodii,SRFP19_S56_L001_R1_001.fastq.gz,SRFP19_S56_L001_R2_001.fastq.gz,33.914467,-120.050283,SRFP19_S56_L001,x
STA03,STA03_S57_L003,GCA_022045235.1,Haliotis cracherodii,STA03_S57_L003_R1_001.fastq.gz,STA03_S57_L003_R2_001.fastq.gz,34.73002302,-120.615462,STA03_S57_L003,x
STA03,STA03_S57_L004,GCA_022045235.1,Haliotis cracherodii,STA03_S57_L004_R1_001.fastq.gz,STA03_S57_L004_R2_001.fastq.gz,34.73002302,-120.615462,STA03_S57_L004,x
STA03,STA03_S57_L001,GCA_022045235.1,Haliotis cracherodii,STA03_S57_L001_R1_001.fastq.gz,STA03_S57_L001_R2_001.fastq.gz,34.73002302,-120.615462,STA03_S57_L001,x
STA03,STA03_S57_L002,GCA_022045235.1,Haliotis cracherodii,STA03_S57_L002_R1_001.fastq.gz,STA03_S57_L002_R2_001.fastq.gz,34.73002302,-120.615462,STA03_S57_L002,x
STA05,STA05_S58_L004,GCA_022045235.1,Haliotis cracherodii,STA05_S58_L004_R1_001.fastq.gz,STA05_S58_L004_R2_001.fastq.gz,34.72983199,-120.615032,STA05_S58_L004,x
STA05,STA05_S58_L003,GCA_022045235.1,Haliotis cracherodii,STA05_S58_L003_R1_001.fastq.gz,STA05_S58_L003_R2_001.fastq.gz,34.72983199,-120.615032,STA05_S58_L003,x
STA05,STA05_S58_L001,GCA_022045235.1,Haliotis cracherodii,STA05_S58_L001_R1_001.fastq.gz,STA05_S58_L001_R2_001.fastq.gz,34.72983199,-120.615032,STA05_S58_L001,x
STA05,STA05_S58_L002,GCA_022045235.1,Haliotis cracherodii,STA05_S58_L002_R1_001.fastq.gz,STA05_S58_L002_R2_001.fastq.gz,34.72983199,-120.615032,STA05_S58_L002,x
ASI06,ASI06_S59_L002,GCA_022045235.1,Haliotis cracherodii,ASI06_S59_L002_R1_001.fastq.gz,ASI06_S59_L002_R2_001.fastq.gz,36.62950703,-121.938556,ASI06_S59_L002,x
ASI06,ASI06_S59_L004,GCA_022045235.1,Haliotis cracherodii,ASI06_S59_L004_R1_001.fastq.gz,ASI06_S59_L004_R2_001.fastq.gz,36.62950703,-121.938556,ASI06_S59_L004,x
ASI06,ASI06_S59_L001,GCA_022045235.1,Haliotis cracherodii,ASI06_S59_L001_R1_001.fastq.gz,ASI06_S59_L001_R2_001.fastq.gz,36.62950703,-121.938556,ASI06_S59_L001,x
ASI06,ASI06_S59_L003,GCA_022045235.1,Haliotis cracherodii,ASI06_S59_L003_R1_001.fastq.gz,ASI06_S59_L003_R2_001.fastq.gz,36.62950703,-121.938556,ASI06_S59_L003,x
BCR05,BCR05_S60_L001,GCA_022045235.1,Haliotis cracherodii,BCR05_S60_L001_R1_001.fastq.gz,BCR05_S60_L001_R2_001.fastq.gz,36.0698671,-121.5989918,BCR05_S60_L001,x
BCR05,BCR05_S60_L003,GCA_022045235.1,Haliotis cracherodii,BCR05_S60_L003_R1_001.fastq.gz,BCR05_S60_L003_R2_001.fastq.gz,36.0698671,-121.5989918,BCR05_S60_L003,x
BCR05,BCR05_S60_L002,GCA_022045235.1,Haliotis cracherodii,BCR05_S60_L002_R1_001.fastq.gz,BCR05_S60_L002_R2_001.fastq.gz,36.0698671,-121.5989918,BCR05_S60_L002,x
BCR05,BCR05_S60_L004,GCA_022045235.1,Haliotis cracherodii,BCR05_S60_L004_R1_001.fastq.gz,BCR05_S60_L004_R2_001.fastq.gz,36.0698671,-121.5989918,BCR05_S60_L004,x
BOA02,BOA02_S61_L004,GCA_022045235.1,Haliotis cracherodii,BOA02_S61_L004_R1_001.fastq.gz,BOA02_S61_L004_R2_001.fastq.gz,34.55671401,-120.601681,BOA02_S61_L004,x
BOA02,BOA02_S61_L001,GCA_022045235.1,Haliotis cracherodii,BOA02_S61_L001_R1_001.fastq.gz,BOA02_S61_L001_R2_001.fastq.gz,34.55671401,-120.601681,BOA02_S61_L001,x
BOA02,BOA02_S61_L002,GCA_022045235.1,Haliotis cracherodii,BOA02_S61_L002_R1_001.fastq.gz,BOA02_S61_L002_R2_001.fastq.gz,34.55671401,-120.601681,BOA02_S61_L002,x
BOA02,BOA02_S61_L003,GCA_022045235.1,Haliotis cracherodii,BOA02_S61_L003_R1_001.fastq.gz,BOA02_S61_L003_R2_001.fastq.gz,34.55671401,-120.601681,BOA02_S61_L003,x
CAR05,CAR05_S62_L002,GCA_022045235.1,Haliotis cracherodii,CAR05_S62_L002_R1_001.fastq.gz,CAR05_S62_L002_R2_001.fastq.gz,36.54365304,-121.934065,CAR05_S62_L002,x
CAR05,CAR05_S62_L004,GCA_022045235.1,Haliotis cracherodii,CAR05_S62_L004_R1_001.fastq.gz,CAR05_S62_L004_R2_001.fastq.gz,36.54365304,-121.934065,CAR05_S62_L004,x
CAR05,CAR05_S62_L003,GCA_022045235.1,Haliotis cracherodii,CAR05_S62_L003_R1_001.fastq.gz,CAR05_S62_L003_R2_001.fastq.gz,36.54365304,-121.934065,CAR05_S62_L003,x
CAR05,CAR05_S62_L001,GCA_022045235.1,Haliotis cracherodii,CAR05_S62_L001_R1_001.fastq.gz,CAR05_S62_L001_R2_001.fastq.gz,36.54365304,-121.934065,CAR05_S62_L001,x
CHI09B,CHI09B_S63_L003,GCA_022045235.1,Haliotis cracherodii,CHI09B_S63_L003_R1_001.fastq.gz,CHI09B_S63_L003_R2_001.fastq.gz,36.60677598,-121.9594,CHI09B_S63_L003,x
CHI09B,CHI09B_S63_L001,GCA_022045235.1,Haliotis cracherodii,CHI09B_S63_L001_R1_001.fastq.gz,CHI09B_S63_L001_R2_001.fastq.gz,36.60677598,-121.9594,CHI09B_S63_L001,x
CHI09B,CHI09B_S63_L002,GCA_022045235.1,Haliotis cracherodii,CHI09B_S63_L002_R1_001.fastq.gz,CHI09B_S63_L002_R2_001.fastq.gz,36.60677598,-121.9594,CHI09B_S63_L002,x
CHI09B,CHI09B_S63_L004,GCA_022045235.1,Haliotis cracherodii,CHI09B_S63_L004_R1_001.fastq.gz,CHI09B_S63_L004_R2_001.fastq.gz,36.60677598,-121.9594,CHI09B_S63_L004,x
CLE04,CLE04_S64_L003,GCA_022045235.1,Haliotis cracherodii,CLE04_S64_L003_R1_001.fastq.gz,CLE04_S64_L003_R2_001.fastq.gz,33.01382,-118.594,CLE04_S64_L003,x
CLE04,CLE04_S64_L001,GCA_022045235.1,Haliotis cracherodii,CLE04_S64_L001_R1_001.fastq.gz,CLE04_S64_L001_R2_001.fastq.gz,33.01382,-118.594,CLE04_S64_L001,x
CLE04,CLE04_S64_L002,GCA_022045235.1,Haliotis cracherodii,CLE04_S64_L002_R1_001.fastq.gz,CLE04_S64_L002_R2_001.fastq.gz,33.01382,-118.594,CLE04_S64_L002,x
CLE04,CLE04_S64_L004,GCA_022045235.1,Haliotis cracherodii,CLE04_S64_L004_R1_001.fastq.gz,CLE04_S64_L004_R2_001.fastq.gz,33.01382,-118.594,CLE04_S64_L004,x
CLE05,CLE05_S65_L002,GCA_022045235.1,Haliotis cracherodii,CLE05_S65_L002_R1_001.fastq.gz,CLE05_S65_L002_R2_001.fastq.gz,33.03366,-118.575,CLE05_S65_L002,x
CLE05,CLE05_S65_L001,GCA_022045235.1,Haliotis cracherodii,CLE05_S65_L001_R1_001.fastq.gz,CLE05_S65_L001_R2_001.fastq.gz,33.03366,-118.575,CLE05_S65_L001,x
CLE05,CLE05_S65_L003,GCA_022045235.1,Haliotis cracherodii,CLE05_S65_L003_R1_001.fastq.gz,CLE05_S65_L003_R2_001.fastq.gz,33.03366,-118.575,CLE05_S65_L003,x
CLE05,CLE05_S65_L004,GCA_022045235.1,Haliotis cracherodii,CLE05_S65_L004_R1_001.fastq.gz,CLE05_S65_L004_R2_001.fastq.gz,33.03366,-118.575,CLE05_S65_L004,x
DOL01,DOL01_S66_L003,GCA_022045235.1,Haliotis cracherodii,DOL01_S66_L003_R1_001.fastq.gz,DOL01_S66_L003_R2_001.fastq.gz,36.1066499,-121.6237484,DOL01_S66_L003,x
DOL01,DOL01_S66_L002,GCA_022045235.1,Haliotis cracherodii,DOL01_S66_L002_R1_001.fastq.gz,DOL01_S66_L002_R2_001.fastq.gz,36.1066499,-121.6237484,DOL01_S66_L002,x
DOL01,DOL01_S66_L004,GCA_022045235.1,Haliotis cracherodii,DOL01_S66_L004_R1_001.fastq.gz,DOL01_S66_L004_R2_001.fastq.gz,36.1066499,-121.6237484,DOL01_S66_L004,x
DOL01,DOL01_S66_L001,GCA_022045235.1,Haliotis cracherodii,DOL01_S66_L001_R1_001.fastq.gz,DOL01_S66_L001_R2_001.fastq.gz,36.1066499,-121.6237484,DOL01_S66_L001,x
FRA10,FRA10_S67_L002,GCA_022045235.1,Haliotis cracherodii,FRA10_S67_L002_R1_001.fastq.gz,FRA10_S67_L002_R2_001.fastq.gz,37.14951,-122.36102,FRA10_S67_L002,x
FRA10,FRA10_S67_L004,GCA_022045235.1,Haliotis cracherodii,FRA10_S67_L004_R1_001.fastq.gz,FRA10_S67_L004_R2_001.fastq.gz,37.14951,-122.36102,FRA10_S67_L004,x
FRA10,FRA10_S67_L001,GCA_022045235.1,Haliotis cracherodii,FRA10_S67_L001_R1_001.fastq.gz,FRA10_S67_L001_R2_001.fastq.gz,37.14951,-122.36102,FRA10_S67_L001,x
FRA10,FRA10_S67_L003,GCA_022045235.1,Haliotis cracherodii,FRA10_S67_L003_R1_001.fastq.gz,FRA10_S67_L003_R2_001.fastq.gz,37.14951,-122.36102,FRA10_S67_L003,x
GAR04,GAR04_S68_L004,GCA_022045235.1,Haliotis cracherodii,GAR04_S68_L004_R1_001.fastq.gz,GAR04_S68_L004_R2_001.fastq.gz,36.46888504,-121.93398,GAR04_S68_L004,x
GAR04,GAR04_S68_L002,GCA_022045235.1,Haliotis cracherodii,GAR04_S68_L002_R1_001.fastq.gz,GAR04_S68_L002_R2_001.fastq.gz,36.46888504,-121.93398,GAR04_S68_L002,x
GAR04,GAR04_S68_L001,GCA_022045235.1,Haliotis cracherodii,GAR04_S68_L001_R1_001.fastq.gz,GAR04_S68_L001_R2_001.fastq.gz,36.46888504,-121.93398,GAR04_S68_L001,x
GAR04,GAR04_S68_L003,GCA_022045235.1,Haliotis cracherodii,GAR04_S68_L003_R1_001.fastq.gz,GAR04_S68_L003_R2_001.fastq.gz,36.46888504,-121.93398,GAR04_S68_L003,x
GAR10,GAR10_S69_L004,GCA_022045235.1,Haliotis cracherodii,GAR10_S69_L004_R1_001.fastq.gz,GAR10_S69_L004_R2_001.fastq.gz,36.46902502,-121.93445,GAR10_S69_L004,x
GAR10,GAR10_S69_L002,GCA_022045235.1,Haliotis cracherodii,GAR10_S69_L002_R1_001.fastq.gz,GAR10_S69_L002_R2_001.fastq.gz,36.46902502,-121.93445,GAR10_S69_L002,x
GAR10,GAR10_S69_L003,GCA_022045235.1,Haliotis cracherodii,GAR10_S69_L003_R1_001.fastq.gz,GAR10_S69_L003_R2_001.fastq.gz,36.46902502,-121.93445,GAR10_S69_L003,x
GAR10,GAR10_S69_L001,GCA_022045235.1,Haliotis cracherodii,GAR10_S69_L001_R1_001.fastq.gz,GAR10_S69_L001_R2_001.fastq.gz,36.46902502,-121.93445,GAR10_S69_L001,x
HOP12,HOP12_S70_L003,GCA_022045235.1,Haliotis cracherodii,HOP12_S70_L003_R1_001.fastq.gz,HOP12_S70_L003_R2_001.fastq.gz,36.62122797,-121.908091,HOP12_S70_L003,x
HOP12,HOP12_S70_L004,GCA_022045235.1,Haliotis cracherodii,HOP12_S70_L004_R1_001.fastq.gz,HOP12_S70_L004_R2_001.fastq.gz,36.62122797,-121.908091,HOP12_S70_L004,x
HOP12,HOP12_S70_L002,GCA_022045235.1,Haliotis cracherodii,HOP12_S70_L002_R1_001.fastq.gz,HOP12_S70_L002_R2_001.fastq.gz,36.62122797,-121.908091,HOP12_S70_L002,x
HOP12,HOP12_S70_L001,GCA_022045235.1,Haliotis cracherodii,HOP12_S70_L001_R1_001.fastq.gz,HOP12_S70_L001_R2_001.fastq.gz,36.62122797,-121.908091,HOP12_S70_L001,x
LMC04,LMC04_S71_L001,GCA_022045235.1,Haliotis cracherodii,LMC04_S71_L001_R1_001.fastq.gz,LMC04_S71_L001_R2_001.fastq.gz,36.1204018,-121.6276028,LMC04_S71_L001,x
LMC04,LMC04_S71_L004,GCA_022045235.1,Haliotis cracherodii,LMC04_S71_L004_R1_001.fastq.gz,LMC04_S71_L004_R2_001.fastq.gz,36.1204018,-121.6276028,LMC04_S71_L004,x
LMC04,LMC04_S71_L003,GCA_022045235.1,Haliotis cracherodii,LMC04_S71_L003_R1_001.fastq.gz,LMC04_S71_L003_R2_001.fastq.gz,36.1204018,-121.6276028,LMC04_S71_L003,x
LMC04,LMC04_S71_L002,GCA_022045235.1,Haliotis cracherodii,LMC04_S71_L002_R1_001.fastq.gz,LMC04_S71_L002_R2_001.fastq.gz,36.1204018,-121.6276028,LMC04_S71_L002,x
MCR08,MCR08_S72_L004,GCA_022045235.1,Haliotis cracherodii,MCR08_S72_L004_R1_001.fastq.gz,MCR08_S72_L004_R2_001.fastq.gz,35.97966403,-121.490685,MCR08_S72_L004,x
MCR08,MCR08_S72_L001,GCA_022045235.1,Haliotis cracherodii,MCR08_S72_L001_R1_001.fastq.gz,MCR08_S72_L001_R2_001.fastq.gz,35.97966403,-121.490685,MCR08_S72_L001,x
MCR08,MCR08_S72_L002,GCA_022045235.1,Haliotis cracherodii,MCR08_S72_L002_R1_001.fastq.gz,MCR08_S72_L002_R2_001.fastq.gz,35.97966403,-121.490685,MCR08_S72_L002,x
MCR08,MCR08_S72_L003,GCA_022045235.1,Haliotis cracherodii,MCR08_S72_L003_R1_001.fastq.gz,MCR08_S72_L003_R2_001.fastq.gz,35.97966403,-121.490685,MCR08_S72_L003,x
MOL11,MOL11_S73_L003,GCA_022045235.1,Haliotis cracherodii,MOL11_S73_L003_R1_001.fastq.gz,MOL11_S73_L003_R2_001.fastq.gz,36.28031996,-121.863379,MOL11_S73_L003,x
MOL11,MOL11_S73_L001,GCA_022045235.1,Haliotis cracherodii,MOL11_S73_L001_R1_001.fastq.gz,MOL11_S73_L001_R2_001.fastq.gz,36.28031996,-121.863379,MOL11_S73_L001,x
MOL11,MOL11_S73_L002,GCA_022045235.1,Haliotis cracherodii,MOL11_S73_L002_R1_001.fastq.gz,MOL11_S73_L002_R2_001.fastq.gz,36.28031996,-121.863379,MOL11_S73_L002,x
MOL11,MOL11_S73_L004,GCA_022045235.1,Haliotis cracherodii,MOL11_S73_L004_R1_001.fastq.gz,MOL11_S73_L004_R2_001.fastq.gz,36.28031996,-121.863379,MOL11_S73_L004,x
PAR01,PAR01_S74_L001,GCA_022045235.1,Haliotis cracherodii,PAR01_S74_L001_R1_001.fastq.gz,PAR01_S74_L001_R2_001.fastq.gz,36.17391304,-121.696636,PAR01_S74_L001,x
PAR01,PAR01_S74_L003,GCA_022045235.1,Haliotis cracherodii,PAR01_S74_L003_R1_001.fastq.gz,PAR01_S74_L003_R2_001.fastq.gz,36.17391304,-121.696636,PAR01_S74_L003,x
PAR01,PAR01_S74_L002,GCA_022045235.1,Haliotis cracherodii,PAR01_S74_L002_R1_001.fastq.gz,PAR01_S74_L002_R2_001.fastq.gz,36.17391304,-121.696636,PAR01_S74_L002,x
PAR01,PAR01_S74_L004,GCA_022045235.1,Haliotis cracherodii,PAR01_S74_L004_R1_001.fastq.gz,PAR01_S74_L004_R2_001.fastq.gz,36.17391304,-121.696636,PAR01_S74_L004,x
PAR04,PAR04_S75_L002,GCA_022045235.1,Haliotis cracherodii,PAR04_S75_L002_R1_001.fastq.gz,PAR04_S75_L002_R2_001.fastq.gz,36.17386904,-121.696614,PAR04_S75_L002,x
PAR04,PAR04_S75_L001,GCA_022045235.1,Haliotis cracherodii,PAR04_S75_L001_R1_001.fastq.gz,PAR04_S75_L001_R2_001.fastq.gz,36.17386904,-121.696614,PAR04_S75_L001,x
PAR04,PAR04_S75_L003,GCA_022045235.1,Haliotis cracherodii,PAR04_S75_L003_R1_001.fastq.gz,PAR04_S75_L003_R2_001.fastq.gz,36.17386904,-121.696614,PAR04_S75_L003,x
PAR04,PAR04_S75_L004,GCA_022045235.1,Haliotis cracherodii,PAR04_S75_L004_R1_001.fastq.gz,PAR04_S75_L004_R2_001.fastq.gz,36.17386904,-121.696614,PAR04_S75_L004,x
PAR08,PAR08_S76_L003,GCA_022045235.1,Haliotis cracherodii,PAR08_S76_L003_R1_001.fastq.gz,PAR08_S76_L003_R2_001.fastq.gz,36.17394598,-121.696155,PAR08_S76_L003,x
PAR08,PAR08_S76_L001,GCA_022045235.1,Haliotis cracherodii,PAR08_S76_L001_R1_001.fastq.gz,PAR08_S76_L001_R2_001.fastq.gz,36.17394598,-121.696155,PAR08_S76_L001,x
PAR08,PAR08_S76_L004,GCA_022045235.1,Haliotis cracherodii,PAR08_S76_L004_R1_001.fastq.gz,PAR08_S76_L004_R2_001.fastq.gz,36.17394598,-121.696155,PAR08_S76_L004,x
PAR08,PAR08_S76_L002,GCA_022045235.1,Haliotis cracherodii,PAR08_S76_L002_R1_001.fastq.gz,PAR08_S76_L002_R2_001.fastq.gz,36.17394598,-121.696155,PAR08_S76_L002,x
PBL10,PBL10_S77_L002,GCA_022045235.1,Haliotis cracherodii,PBL10_S77_L002_R1_001.fastq.gz,PBL10_S77_L002_R2_001.fastq.gz,35.66489699,-121.287013,PBL10_S77_L002,x
