BioSample,LibraryName,refGenome,Organism,fq1,fq2,Run,BioProject
MVZCCGP-AbeI_H06,MVZCCGP-AbeI_H06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H06_R1.fastq.gz,MVZCCGP-AbeI_H06_R2.fastq.gz,MVZCCGP-AbeI_H06,PRJNA778814
MVZCCGP-AbeI_H06,MVZCCGP-AbeI_H06_S90_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H06_S90_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H06_S90_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H06_S90_L001,PRJNA778814
MVZCCGP-AbeI_A07,MVZCCGP-AbeI_A07_S7_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A07_S7_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A07_S7_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A07_S7_L001,PRJNA778814
MVZCCGP-AbeI_A07,MVZCCGP-AbeI_A07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A07_R1.fastq.gz,MVZCCGP-AbeI_A07_R2.fastq.gz,MVZCCGP-AbeI_A07,PRJNA778814
MVZCCGP-AbeI_B07,MVZCCGP-AbeI_B07_S19_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B07_S19_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B07_S19_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B07_S19_L001,PRJNA778814
MVZCCGP-AbeI_B07,MVZCCGP-AbeI_B07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B07_R1.fastq.gz,MVZCCGP-AbeI_B07_R2.fastq.gz,MVZCCGP-AbeI_B07,PRJNA778814
MVZCCGP-AbeI_C07,MVZCCGP-AbeI_C07_S31_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C07_S31_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C07_S31_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C07_S31_L001,PRJNA778814
MVZCCGP-AbeI_C07,MVZCCGP-AbeI_C07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C07_R1.fastq.gz,MVZCCGP-AbeI_C07_R2.fastq.gz,MVZCCGP-AbeI_C07,PRJNA778814
MVZCCGP-AbeI_D07,MVZCCGP-AbeI_D07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D07_R1.fastq.gz,MVZCCGP-AbeI_D07_R2.fastq.gz,MVZCCGP-AbeI_D07,PRJNA778814
MVZCCGP-AbeI_D07,MVZCCGP-AbeI_D07_S43_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D07_S43_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D07_S43_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D07_S43_L001,PRJNA778814
MVZCCGP-AbeI_E07,MVZCCGP-AbeI_E07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E07_R1.fastq.gz,MVZCCGP-AbeI_E07_R2.fastq.gz,MVZCCGP-AbeI_E07,PRJNA778814
MVZCCGP-AbeI_E07,MVZCCGP-AbeI_E07_S55_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E07_S55_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E07_S55_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E07_S55_L001,PRJNA778814
MVZCCGP-AbeI_F07,MVZCCGP-AbeI_F07_S67_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F07_S67_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F07_S67_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F07_S67_L001,PRJNA778814
MVZCCGP-AbeI_F07,MVZCCGP-AbeI_F07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F07_R1.fastq.gz,MVZCCGP-AbeI_F07_R2.fastq.gz,MVZCCGP-AbeI_F07,PRJNA778814
MVZCCGP-AbeI_G07,MVZCCGP-AbeI_G07_S79_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G07_S79_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G07_S79_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G07_S79_L001,PRJNA778814
MVZCCGP-AbeI_G07,MVZCCGP-AbeI_G07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G07_R1.fastq.gz,MVZCCGP-AbeI_G07_R2.fastq.gz,MVZCCGP-AbeI_G07,PRJNA778814
MVZCCGP-AbeI_H07,MVZCCGP-AbeI_H07_S91_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H07_S91_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H07_S91_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H07_S91_L001,PRJNA778814
MVZCCGP-AbeI_H07,MVZCCGP-AbeI_H07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H07_R1.fastq.gz,MVZCCGP-AbeI_H07_R2.fastq.gz,MVZCCGP-AbeI_H07,PRJNA778814
MVZCCGP-AbeI_A08,MVZCCGP-AbeI_A08,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A08_R1.fastq.gz,MVZCCGP-AbeI_A08_R2.fastq.gz,MVZCCGP-AbeI_A08,PRJNA778814
MVZCCGP-AbeI_A08,MVZCCGP-AbeI_A08_S8_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A08_S8_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A08_S8_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A08_S8_L001,PRJNA778814
MVZCCGP-AbeI_B08,MVZCCGP-AbeI_B08_S20_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B08_S20_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B08_S20_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B08_S20_L001,PRJNA778814
MVZCCGP-AbeI_B08,MVZCCGP-AbeI_B08,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B08_R1.fastq.gz,MVZCCGP-AbeI_B08_R2.fastq.gz,MVZCCGP-AbeI_B08,PRJNA778814
MVZCCGP-AbeI_C08,MVZCCGP-AbeI_C08,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C08_R1.fastq.gz,MVZCCGP-AbeI_C08_R2.fastq.gz,MVZCCGP-AbeI_C08,PRJNA778814
MVZCCGP-AbeI_C08,MVZCCGP-AbeI_C08_S32_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C08_S32_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C08_S32_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C08_S32_L001,PRJNA778814
MVZCCGP-AbeI_D08,MVZCCGP-AbeI_D08,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D08_R1.fastq.gz,MVZCCGP-AbeI_D08_R2.fastq.gz,MVZCCGP-AbeI_D08,PRJNA778814
MVZCCGP-AbeI_D08,MVZCCGP-AbeI_D08_S44_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D08_S44_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D08_S44_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D08_S44_L001,PRJNA778814
MVZCCGP-AbeI_E08,MVZCCGP-AbeI_E08_S56_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E08_S56_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E08_S56_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E08_S56_L001,PRJNA778814
MVZCCGP-AbeI_E08,MVZCCGP-AbeI_E08,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E08_R1.fastq.gz,MVZCCGP-AbeI_E08_R2.fastq.gz,MVZCCGP-AbeI_E08,PRJNA778814
MVZCCGP-AbeI_F08,MVZCCGP-AbeI_F08_S68_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F08_S68_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F08_S68_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F08_S68_L001,PRJNA778814
MVZCCGP-AbeI_F08,MVZCCGP-AbeI_F08,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F08_R1.fastq.gz,MVZCCGP-AbeI_F08_R2.fastq.gz,MVZCCGP-AbeI_F08,PRJNA778814
MVZCCGP-AbeI_G08,MVZCCGP-AbeI_G08,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G08_R1.fastq.gz,MVZCCGP-AbeI_G08_R2.fastq.gz,MVZCCGP-AbeI_G08,PRJNA778814
MVZCCGP-AbeI_G08,MVZCCGP-AbeI_G08_S80_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G08_S80_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G08_S80_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G08_S80_L001,PRJNA778814
MVZCCGP-AbeI_H08,MVZCCGP-AbeI_H08,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H08_R1.fastq.gz,MVZCCGP-AbeI_H08_R2.fastq.gz,MVZCCGP-AbeI_H08,PRJNA778814
MVZCCGP-AbeI_H08,MVZCCGP-AbeI_H08_S92_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H08_S92_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H08_S92_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H08_S92_L001,PRJNA778814
MVZCCGP-AbeI_A09,MVZCCGP-AbeI_A09,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A09_R1.fastq.gz,MVZCCGP-AbeI_A09_R2.fastq.gz,MVZCCGP-AbeI_A09,PRJNA778814
MVZCCGP-AbeI_A09,MVZCCGP-AbeI_A09_S9_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A09_S9_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A09_S9_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A09_S9_L001,PRJNA778814
MVZCCGP-AbeI_B09,MVZCCGP-AbeI_B09_S21_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B09_S21_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B09_S21_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B09_S21_L001,PRJNA778814
MVZCCGP-AbeI_B09,MVZCCGP-AbeI_B09,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B09_R1.fastq.gz,MVZCCGP-AbeI_B09_R2.fastq.gz,MVZCCGP-AbeI_B09,PRJNA778814
MVZCCGP-AbeI_C09,MVZCCGP-AbeI_C09,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C09_R1.fastq.gz,MVZCCGP-AbeI_C09_R2.fastq.gz,MVZCCGP-AbeI_C09,PRJNA778814
MVZCCGP-AbeI_C09,MVZCCGP-AbeI_C09_S33_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C09_S33_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C09_S33_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C09_S33_L001,PRJNA778814
MVZCCGP-AbeI_D09,MVZCCGP-AbeI_D09_S45_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D09_S45_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D09_S45_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D09_S45_L001,PRJNA778814
MVZCCGP-AbeI_D09,MVZCCGP-AbeI_D09,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D09_R1.fastq.gz,MVZCCGP-AbeI_D09_R2.fastq.gz,MVZCCGP-AbeI_D09,PRJNA778814
MVZCCGP-AbeI_E09,MVZCCGP-AbeI_E09,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E09_R1.fastq.gz,MVZCCGP-AbeI_E09_R2.fastq.gz,MVZCCGP-AbeI_E09,PRJNA778814
MVZCCGP-AbeI_E09,MVZCCGP-AbeI_E09_S57_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E09_S57_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E09_S57_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E09_S57_L001,PRJNA778814
MVZCCGP-AbeI_F09,MVZCCGP-AbeI_F09_S69_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F09_S69_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F09_S69_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F09_S69_L001,PRJNA778814
MVZCCGP-AbeI_F09,MVZCCGP-AbeI_F09,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F09_R1.fastq.gz,MVZCCGP-AbeI_F09_R2.fastq.gz,MVZCCGP-AbeI_F09,PRJNA778814
MVZCCGP-AbeI_G09,MVZCCGP-AbeI_G09_S81_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G09_S81_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G09_S81_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G09_S81_L001,PRJNA778814
MVZCCGP-AbeI_G09,MVZCCGP-AbeI_G09,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G09_R1.fastq.gz,MVZCCGP-AbeI_G09_R2.fastq.gz,MVZCCGP-AbeI_G09,PRJNA778814
MVZCCGP-AbeI_H09,MVZCCGP-AbeI_H09,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H09_R1.fastq.gz,MVZCCGP-AbeI_H09_R2.fastq.gz,MVZCCGP-AbeI_H09,PRJNA778814
MVZCCGP-AbeI_H09,MVZCCGP-AbeI_H09_S93_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H09_S93_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H09_S93_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H09_S93_L001,PRJNA778814
MVZCCGP-AbeI_A10,MVZCCGP-AbeI_A10,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A10_R1.fastq.gz,MVZCCGP-AbeI_A10_R2.fastq.gz,MVZCCGP-AbeI_A10,PRJNA778814
MVZCCGP-AbeI_A10,MVZCCGP-AbeI_A10_S10_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A10_S10_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A10_S10_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A10_S10_L001,PRJNA778814
MVZCCGP-AbeI_B10,MVZCCGP-AbeI_B10_S22_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B10_S22_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B10_S22_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B10_S22_L001,PRJNA778814
MVZCCGP-AbeI_B10,MVZCCGP-AbeI_B10,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B10_R1.fastq.gz,MVZCCGP-AbeI_B10_R2.fastq.gz,MVZCCGP-AbeI_B10,PRJNA778814
MVZCCGP-AbeI_C10,MVZCCGP-AbeI_C10_S34_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C10_S34_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C10_S34_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C10_S34_L001,PRJNA778814
MVZCCGP-AbeI_C10,MVZCCGP-AbeI_C10,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C10_R1.fastq.gz,MVZCCGP-AbeI_C10_R2.fastq.gz,MVZCCGP-AbeI_C10,PRJNA778814
MVZCCGP-AbeI_D10,MVZCCGP-AbeI_D10,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D10_R1.fastq.gz,MVZCCGP-AbeI_D10_R2.fastq.gz,MVZCCGP-AbeI_D10,PRJNA778814
MVZCCGP-AbeI_D10,MVZCCGP-AbeI_D10_S46_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D10_S46_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D10_S46_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D10_S46_L001,PRJNA778814
MVZCCGP-AbeI_E10,MVZCCGP-AbeI_E10_S58_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E10_S58_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E10_S58_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E10_S58_L001,PRJNA778814
MVZCCGP-AbeI_E10,MVZCCGP-AbeI_E10,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E10_R1.fastq.gz,MVZCCGP-AbeI_E10_R2.fastq.gz,MVZCCGP-AbeI_E10,PRJNA778814
MVZCCGP-AbeI_F10,MVZCCGP-AbeI_F10_S70_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F10_S70_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F10_S70_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F10_S70_L001,PRJNA778814
MVZCCGP-AbeI_F10,MVZCCGP-AbeI_F10,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F10_R1.fastq.gz,MVZCCGP-AbeI_F10_R2.fastq.gz,MVZCCGP-AbeI_F10,PRJNA778814
MVZCCGP-AbeI_G10,MVZCCGP-AbeI_G10_S82_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G10_S82_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G10_S82_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G10_S82_L001,PRJNA778814
MVZCCGP-AbeI_G10,MVZCCGP-AbeI_G10,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G10_R1.fastq.gz,MVZCCGP-AbeI_G10_R2.fastq.gz,MVZCCGP-AbeI_G10,PRJNA778814
MVZCCGP-AbeI_H10,MVZCCGP-AbeI_H10_S94_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H10_S94_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H10_S94_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H10_S94_L001,PRJNA778814
MVZCCGP-AbeI_H10,MVZCCGP-AbeI_H10,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H10_R1.fastq.gz,MVZCCGP-AbeI_H10_R2.fastq.gz,MVZCCGP-AbeI_H10,PRJNA778814
MVZCCGP-AbeI_A11,MVZCCGP-AbeI_A11,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A11_R1.fastq.gz,MVZCCGP-AbeI_A11_R2.fastq.gz,MVZCCGP-AbeI_A11,PRJNA778814
MVZCCGP-AbeI_A11,MVZCCGP-AbeI_A11_S11_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A11_S11_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A11_S11_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A11_S11_L001,PRJNA778814
MVZCCGP-AbeI_B11,MVZCCGP-AbeI_B11,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B11_R1.fastq.gz,MVZCCGP-AbeI_B11_R2.fastq.gz,MVZCCGP-AbeI_B11,PRJNA778814
MVZCCGP-AbeI_B11,MVZCCGP-AbeI_B11_S23_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B11_S23_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B11_S23_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B11_S23_L001,PRJNA778814
MVZCCGP-AbeI_C11,MVZCCGP-AbeI_C11,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C11_R1.fastq.gz,MVZCCGP-AbeI_C11_R2.fastq.gz,MVZCCGP-AbeI_C11,PRJNA778814
MVZCCGP-AbeI_C11,MVZCCGP-AbeI_C11_S35_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C11_S35_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C11_S35_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C11_S35_L001,PRJNA778814
MVZCCGP-AbeI_D11,MVZCCGP-AbeI_D11,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D11_R1.fastq.gz,MVZCCGP-AbeI_D11_R2.fastq.gz,MVZCCGP-AbeI_D11,PRJNA778814
MVZCCGP-AbeI_D11,MVZCCGP-AbeI_D11_S47_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D11_S47_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D11_S47_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D11_S47_L001,PRJNA778814
MVZCCGP-AbeI_E11,MVZCCGP-AbeI_E11_S59_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E11_S59_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E11_S59_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E11_S59_L001,PRJNA778814
MVZCCGP-AbeI_E11,MVZCCGP-AbeI_E11,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E11_R1.fastq.gz,MVZCCGP-AbeI_E11_R2.fastq.gz,MVZCCGP-AbeI_E11,PRJNA778814
MVZCCGP-AbeI_F11,MVZCCGP-AbeI_F11,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F11_R1.fastq.gz,MVZCCGP-AbeI_F11_R2.fastq.gz,MVZCCGP-AbeI_F11,PRJNA778814
MVZCCGP-AbeI_F11,MVZCCGP-AbeI_F11_S71_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F11_S71_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F11_S71_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F11_S71_L001,PRJNA778814
MVZCCGP-AbeI_G11,MVZCCGP-AbeI_G11_S83_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G11_S83_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G11_S83_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G11_S83_L001,PRJNA778814
MVZCCGP-AbeI_G11,MVZCCGP-AbeI_G11,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G11_R1.fastq.gz,MVZCCGP-AbeI_G11_R2.fastq.gz,MVZCCGP-AbeI_G11,PRJNA778814
MVZCCGP-AbeI_H11,MVZCCGP-AbeI_H11_S95_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H11_S95_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H11_S95_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H11_S95_L001,PRJNA778814
MVZCCGP-AbeI_H11,MVZCCGP-AbeI_H11,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H11_R1.fastq.gz,MVZCCGP-AbeI_H11_R2.fastq.gz,MVZCCGP-AbeI_H11,PRJNA778814
MVZCCGP-AbeI_A12,MVZCCGP-AbeI_A12,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A12_R1.fastq.gz,MVZCCGP-AbeI_A12_R2.fastq.gz,MVZCCGP-AbeI_A12,PRJNA778814
MVZCCGP-AbeI_A12,MVZCCGP-AbeI_A12_S12_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A12_S12_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A12_S12_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A12_S12_L001,PRJNA778814
MVZCCGP-AbeI_B12,MVZCCGP-AbeI_B12_S24_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B12_S24_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B12_S24_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B12_S24_L001,PRJNA778814
MVZCCGP-AbeI_B12,MVZCCGP-AbeI_B12,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B12_R1.fastq.gz,MVZCCGP-AbeI_B12_R2.fastq.gz,MVZCCGP-AbeI_B12,PRJNA778814
MVZCCGP-AbeI_C12,MVZCCGP-AbeI_C12_S36_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C12_S36_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C12_S36_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C12_S36_L001,PRJNA778814
MVZCCGP-AbeI_C12,MVZCCGP-AbeI_C12,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C12_R1.fastq.gz,MVZCCGP-AbeI_C12_R2.fastq.gz,MVZCCGP-AbeI_C12,PRJNA778814
MVZCCGP-AbeI_D12,MVZCCGP-AbeI_D12_S48_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D12_S48_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D12_S48_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D12_S48_L001,PRJNA778814
MVZCCGP-AbeI_D12,MVZCCGP-AbeI_D12,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D12_R1.fastq.gz,MVZCCGP-AbeI_D12_R2.fastq.gz,MVZCCGP-AbeI_D12,PRJNA778814
MVZCCGP-AbeI_E12,MVZCCGP-AbeI_E12,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E12_R1.fastq.gz,MVZCCGP-AbeI_E12_R2.fastq.gz,MVZCCGP-AbeI_E12,PRJNA778814
MVZCCGP-AbeI_E12,MVZCCGP-AbeI_E12_S60_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E12_S60_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E12_S60_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E12_S60_L001,PRJNA778814
MVZCCGP-AbeI_F12,MVZCCGP-AbeI_F12,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F12_R1.fastq.gz,MVZCCGP-AbeI_F12_R2.fastq.gz,MVZCCGP-AbeI_F12,PRJNA778814
MVZCCGP-AbeI_F12,MVZCCGP-AbeI_F12_S72_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F12_S72_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F12_S72_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F12_S72_L001,PRJNA778814
MVZCCGP-AbeI_G12,MVZCCGP-AbeI_G12_S84_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G12_S84_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G12_S84_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G12_S84_L001,PRJNA778814
MVZCCGP-AbeI_G12,MVZCCGP-AbeI_G12,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G12_R1.fastq.gz,MVZCCGP-AbeI_G12_R2.fastq.gz,MVZCCGP-AbeI_G12,PRJNA778814
MVZCCGP-AbeI_H12,MVZCCGP-AbeI_H12,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H12_R1.fastq.gz,MVZCCGP-AbeI_H12_R2.fastq.gz,MVZCCGP-AbeI_H12,PRJNA778814
MVZCCGP-AbeI_H12,MVZCCGP-AbeI_H12_S96_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H12_S96_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H12_S96_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H12_S96_L001,PRJNA778814
MVZCCGP-AbeII_A01,MVZCCGP-AbeII_A01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_A01_R1.fastq.gz,MVZCCGP-AbeII_A01_R2.fastq.gz,MVZCCGP-AbeII_A01,PRJNA778814
