BioSample,LibraryName,refGenome,Organism,fq1,fq2,Run,BioProject
MVZCCGP-AbeI_D02,MVZCCGP-AbeI_D02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D02_R1.fastq.gz,MVZCCGP-AbeI_D02_R2.fastq.gz,MVZCCGP-AbeI_D02,PRJNA778814
MVZCCGP-AbeI_D02,MVZCCGP-AbeI_D02_S38_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D02_S38_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D02_S38_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D02_S38_L001,PRJNA778814
MVZCCGP-AbeI_E02,MVZCCGP-AbeI_E02_S50_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E02_S50_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E02_S50_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E02_S50_L001,PRJNA778814
MVZCCGP-AbeI_E02,MVZCCGP-AbeI_E02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E02_R1.fastq.gz,MVZCCGP-AbeI_E02_R2.fastq.gz,MVZCCGP-AbeI_E02,PRJNA778814
MVZCCGP-AbeI_F02,MVZCCGP-AbeI_F02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F02_R1.fastq.gz,MVZCCGP-AbeI_F02_R2.fastq.gz,MVZCCGP-AbeI_F02,PRJNA778814
MVZCCGP-AbeI_F02,MVZCCGP-AbeI_F02_S62_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F02_S62_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F02_S62_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F02_S62_L001,PRJNA778814
MVZCCGP-AbeI_G02,MVZCCGP-AbeI_G02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G02_R1.fastq.gz,MVZCCGP-AbeI_G02_R2.fastq.gz,MVZCCGP-AbeI_G02,PRJNA778814
MVZCCGP-AbeI_G02,MVZCCGP-AbeI_G02_S74_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G02_S74_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G02_S74_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G02_S74_L001,PRJNA778814
MVZCCGP-AbeI_H02,MVZCCGP-AbeI_H02_S86_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H02_S86_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H02_S86_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H02_S86_L001,PRJNA778814
MVZCCGP-AbeI_H02,MVZCCGP-AbeI_H02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H02_R1.fastq.gz,MVZCCGP-AbeI_H02_R2.fastq.gz,MVZCCGP-AbeI_H02,PRJNA778814
