BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363088,10,GCF_001891065.1,SRR12601670,Hippocampus_abdominalis,PRJNA612146
SAMN14363087,9,GCF_001891065.1,SRR12601681,Hippocampus_abdominalis,PRJNA612146
SAMN14363086,8,GCF_001891065.1,SRR12601836,Hippocampus_abdominalis,PRJNA612146
