
Clock type: CPU
Ordered by: totaltime, desc

name                                                                                                                      ncall       tsub      ttot      tavg      
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/cookies.py:135 get_cookie_header             9817        0.123178  2.112411  0.000215
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/storage/blob.py:296 path_helper          7999        0.039249  2.111635  0.000264
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/response.py:481 HTTPResponse.read             9815        0.284269  2.078208  0.000212
<frozen importlib._bootstrap>:1022 _find_and_load                                                                         908/12      0.017548  2.074336  0.002285
<frozen importlib._bootstrap>:987 _find_and_load_unlocked                                                                 907/12      0.012905  2.073170  0.002286
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/storage/blob.py:4407 _quote              7999        0.058284  2.072386  0.000259
<frozen importlib._bootstrap>:664 _load_unlocked                                                                          846/12      0.013644  2.060089  0.002435
<frozen importlib._bootstrap>:233 _call_with_frames_removed                                                               1145/13     0.004003  2.056620  0.001796
<frozen importlib._bootstrap_external>:877 SourceFileLoader.exec_module                                                   763/11      0.006440  2.052919  0.002691
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/logging.py:335 Logger.handler               12979       0.096671  1.975792  0.000152
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/_collections_abc.py:813 _Environ.get                                117845      0.600914  1.954605  0.000017
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/cookiejar.py:1604 RequestsCookieJar.make_cookies               19634       0.260141  1.929241  0.000098
..buntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/structures.py:48 CaseInsensitiveDict.__setitem__  351608      1.416268  1.894337  0.000005
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/message.py:588 HTTPMessage.get_content_maintype               29451       0.177950  1.893807  0.000064
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/urllib/parse.py:114 _coerce_args                                    246712      1.393944  1.862002  0.000008
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/logging.py:420 Logger.text_handler          12979       0.083843  1.857393  0.000143
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/message.py:451 HTTPMessage.items                              9817        0.055690  1.850463  0.000188
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/_collections.py:141 HTTPHeaderDict.__init__   9817        0.138961  1.815813  0.000185
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/message.py:459 <listcomp>                                     9817        0.279301  1.794773  0.000183
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/_policybase.py:293 Compat32.header_source_parse               106175      1.105761  1.783555  0.000017
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/_policybase.py:281 Compat32._sanitize_header                  155260      0.799608  1.759785  0.000011
