
Clock type: CPU
Ordered by: totaltime, desc

name                                                                                                                      ncall       tsub      ttot      tavg      
..u/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/api_core/page_iterator.py:206 HTTPIterator._items_iter  55          0.000985  1.583554  0.028792
..tu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/api_core/page_iterator.py:232 HTTPIterator._page_iter  110         0.000713  1.582019  0.014382
..tu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/api_core/page_iterator.py:365 HTTPIterator._next_page  110         0.001800  1.581306  0.014376
../envs/snakemake/lib/python3.10/site-packages/google/api_core/page_iterator.py:421 HTTPIterator._get_next_page_response  55          0.000916  1.577446  0.028681
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/url.py:210 _encode_invalid_chars         2050        0.830742  1.381237  0.000674
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/url.py:330 parse_url                     771         0.048646  1.310640  0.001700
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/__init__.py:1 <module>                         1           0.000363  1.233141  1.233141
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/utils.py:738 should_bypass_proxies           257         0.007982  1.208710  0.004703
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/os.py:674 _Environ.__getitem__                                      53533       0.398093  1.192769  0.000022
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:141 worker                            8           0.000439  1.167861  0.145983
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:173 IOCache.collect_mtime             12          0.000094  1.166375  0.097198
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:490 _IOFile.mtime_uncached            12          0.000575  1.166281  0.097190
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/remote/GS.py:214 RemoteObject.mtime         12          0.000621  1.162693  0.096891
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/urllib/request.py:2519 proxy_bypass_environment                     257         0.002078  1.135676  0.004419
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/importlib/__init__.py:108 import_module                             12/11       0.000083  1.115437  0.092953
<frozen importlib._bootstrap>:1038 _gcd_import                                                                            13/11       0.000089  1.115342  0.085796
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/parser.py:1216 parse                        7           0.169310  1.108888  0.158413
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/sessions.py:417 Session.prepare_request      257         0.014776  1.101335  0.004285
..miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/connectionpool.py:361 HTTPSConnectionPool._make_request  257         0.017270  1.077021  0.004191
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/remote/GS.py:1 <module>                     1           0.000119  0.814048  0.814048
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/storage/__init__.py:1 <module>           1           0.000071  0.805673  0.805673
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/models.py:312 PreparedRequest.prepare        257         0.006781  0.791743  0.003081
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/storage/batch.py:1 <module>              1           0.000115  0.762838  0.762838
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/parser.py:103 Python.consume                21611/10..  0.134405  0.757808  0.000035
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/adapters.py:293 HTTPAdapter.get_connection   257         0.005273  0.596154  0.002320
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:1330 HTTPSConnection.getresponse                     257         0.004813  0.591966  0.002303
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/re.py:288 _compile                                                  1167        0.011239  0.587549  0.000503
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/os.py:758 decode                                                    101802      0.390532  0.577982  0.000006
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:311 HTTPResponse.begin                               257         0.012465  0.573284  0.002231
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/re.py:249 compile                                                   205         0.000850  0.571741  0.002789
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/sre_compile.py:759 compile                                          180         0.003960  0.566863  0.003149
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/models.py:360 PreparedRequest.prepare_url    257         0.011519  0.554274  0.002157
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:728 DAG.update                       87/1        0.003381  0.536503  0.006167
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:834 DAG.update_                      87/1        0.001985  0.536313  0.006165
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/os.py:697 _Environ.__iter__                                         51400       0.218097  0.505811  0.000010
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/os.py:754 encode                                                    53539       0.325827  0.504482  0.000009
..untu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/poolmanager.py:286 PoolManager.connection_from_url  257         0.002926  0.503486  0.001959
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/parser.py:1170 Python.python                13330/13..  0.049709  0.491189  0.000037
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/core/api.py:1 <module>                         1           0.000156  0.478198  0.478198
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:224 parse_headers                                    257         0.008967  0.452559  0.001761
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/parser.py:165 Localrules.block              14246/5686  0.083619  0.382979  0.000027
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/parser.py:59 Parser.parsestr                                  257         0.004133  0.380125  0.001479
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/parser.py:41 Parser.parse                                     257         0.006079  0.375992  0.001463
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/__init__.py:1 <module>                       1           0.000171  0.373064  0.373064
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/sre_parse.py:937 parse                                              180         0.002673  0.370684  0.002059
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/remote/GS.py:251 RemoteObject.is_directory  12          0.000363  0.368596  0.030716
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/sre_parse.py:435 _parse_sub                                         635/180     0.013401  0.364240  0.000574
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/numpy/__init__.py:1 <module>                          1           0.005811  0.361831  0.361831
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/parser.py:754 Rule.block_content            5683/5508   0.019679  0.360110  0.000063
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/sre_parse.py:493 _parse                                             949/199     0.119464  0.358630  0.000378
<frozen importlib._bootstrap>:921 _find_spec                                                                              896         0.035601  0.351795  0.000393
<frozen importlib._bootstrap_external>:950 SourceFileLoader.get_code                                                      763         0.021949  0.344938  0.000452
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/url.py:320 _encode_target                257         0.004200  0.344275  0.001340
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/_helpers/__init__.py:1 <module>          1           0.000147  0.337455  0.337455
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/common/__init__.py:70 parse_uri             95          0.000846  0.333537  0.003511
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/common/__init__.py:66 is_local_file         79          0.000382  0.325431  0.004119
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/connection.py:231 HTTPSConnection.request     257         0.006951  0.324447  0.001262
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/feedparser.py:173 FeedParser.feed                             257         0.002439  0.311452  0.001212
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/parser.py:1194 Snakefile.__next__           8183        0.023689  0.307350  0.000038
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/feedparser.py:178 FeedParser._call_parse                      514         0.004152  0.301800  0.000587
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/sourcecache.py:287 infer_source_file        7           0.000153  0.300709  0.042958
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/feedparser.py:218 FeedParser._parsegen                        514         0.040121  0.297647  0.000579
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/smart_open/__init__.py:1 <module>                     1           0.000043  0.293927  0.293927
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/smart_open/smart_open_lib.py:1 <module>               1           0.000109  0.291639  0.291639
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:1279 HTTPSConnection.request                         257         0.001643  0.284633  0.001108
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:1284 HTTPSConnection._send_request                   257         0.021418  0.282990  0.001101
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/smart_open/doctools.py:1 <module>                     1           0.000037  0.279666  0.279666
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/smart_open/transport.py:1 <module>                    1           0.000076  0.278573  0.278573
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/smart_open/transport.py:32 register_transport         8           0.000180  0.278384  0.034798
<frozen importlib._bootstrap_external>:1422 find_spec                                                                     895         0.004307  0.267668  0.000299
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/core/groupby/__init__.py:1 <module>            1           0.000023  0.265264  0.265264
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/smart_open/s3.py:1 <module>                           1           0.000116  0.264753  0.264753
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/core/groupby/generic.py:1 <module>             1           0.000217  0.263498  0.263498
<frozen importlib._bootstrap_external>:1390 _get_spec                                                                     896/895     0.015452  0.263362  0.000294
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/boto3/__init__.py:1 <module>                          1           0.000052  0.259149  0.259149
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/tokenize.py:431 _tokenize                                           8183        0.107542  0.256019  0.000031
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/boto3/session.py:1 <module>                           1           0.000068  0.230130  0.230130
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/urllib/parse.py:372 urlparse                                        2571        0.041727  0.229269  0.000089
<frozen importlib._bootstrap_external>:1527 FileFinder.find_spec                                                          1169        0.048606  0.224663  0.000192
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/compat/__init__.py:1 <module>                  1           0.000090  0.223306  0.223306
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/rules.py:730 Rule.apply_input_function      57          0.001520  0.220324  0.003865
..ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:1632 DAG.collect_potential_dependencies  115         0.001703  0.219082  0.001905
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/core/frame.py:1 <module>                       1           0.000273  0.216073  0.216073
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:1749 DAG.file2jobs                   91          0.001084  0.215359  0.002367
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/adapters.py:256 HTTPAdapter.build_response   257         0.008258  0.208036  0.000809
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:2215 DAG.stats                       8           0.001350  0.205679  0.025710
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:260 _IOFile.wrapper                   1191/1189   0.017967  0.205215  0.000172
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/botocore/session.py:1 <module>                        1           0.000178  0.203291  0.203291
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/auth/transport/requests.py:1 <module>          1           0.000075  0.202949  0.202949
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/__init__.py:1 <module>                        1           0.000126  0.196189  0.196189
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/oauth2/service_account.py:1 <module>           1           0.000042  0.191502  0.191502
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/core/arrays/__init__.py:1 <module>             1           0.000135  0.191288  0.191288
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/sre_compile.py:598 _code                                            180         0.001753  0.188819  0.001049
<frozen importlib._bootstrap>:564 module_from_spec                                                                        846/843     0.009598  0.183506  0.000217
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/sessions.py:50 merge_setting                 1799        0.021829  0.183286  0.000102
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/connectionpool.py:1 <module>                  1           0.000287  0.182876  0.182876
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/scheduler.py:410 JobScheduler.schedule      1           0.000607  0.182617  0.182617
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/auth/_service_account_info.py:1 <module>       1           0.000013  0.181680  0.181680
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/auth/crypt/__init__.py:1 <module>              1           0.000034  0.180733  0.180733
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/compat/numpy/__init__.py:1 <module>            1           0.000131  0.178488  0.178488
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/auth/crypt/rsa.py:1 <module>                   1           0.000019  0.176860  0.176860
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/auth/crypt/_cryptography_rsa.py:1 <module>     1           0.000091  0.175944  0.175944
<frozen importlib._bootstrap_external>:670 _compile_bytecode                                                              763         0.010658  0.173485  0.000227
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/yaml/__init__.py:74 load                              2           0.000099  0.171965  0.085982
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/connection.py:1 <module>                      1           0.000155  0.171475  0.171475
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/yaml/constructor.py:47 OrderedLoader.get_single_data  2           0.000022  0.171340  0.085670
<frozen importlib._bootstrap_external>:1182 ExtensionFileLoader.exec_module                                               72/45       0.000855  0.170497  0.002368
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/_collections_abc.py:983 CaseInsensitiveDict.update                  2060        0.054471  0.168702  0.000082
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/numpy/core/__init__.py:1 <module>                     1           0.000670  0.167855  0.167855
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/jobs.py:287 Job.threads                     101         0.000500  0.166399  0.001648
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/jobs.py:336 Job.resources                   167         0.000585  0.166086  0.000995
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/util/__init__.py:1 <module>                    1           0.000032  0.165746  0.165746
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/rules.py:1057 Rule.expand_resources         17          0.000490  0.165476  0.009734
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/yaml/composer.py:29 OrderedLoader.get_single_node     2           0.000037  0.163427  0.081713
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/response.py:581 from_httplib                  257         0.008312  0.163336  0.000636
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/urllib/parse.py:437 urlsplit                                        2937        0.089070  0.162408  0.000055
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/rules.py:1060 apply                         102         0.001511  0.161636  0.001585
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/yaml/composer.py:50 OrderedLoader.compose_document    2           0.000020  0.160894  0.080447
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/yaml/composer.py:63 OrderedLoader.compose_node        224/2       0.003089  0.160805  0.000718
../ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/yaml/composer.py:117 OrderedLoader.compose_mapping_node  32/2        0.001361  0.160304  0.005010
..e/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/structures.py:42 CaseInsensitiveDict.__init__  1546        0.011852  0.159403  0.000103
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/__init__.py:1 <module>                   1           0.000098  0.158433  0.158433
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/sre_compile.py:71 _compile                                          1578/180    0.060947  0.155535  0.000099
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/yaml/parser.py:94 OrderedLoader.check_event           659         0.003099  0.153021  0.000232
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/ssl_.py:1 <module>                       1           0.000085  0.144623  0.144623
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/scheduler.py:555 JobScheduler.run           16          0.000171  0.144199  0.009012
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:1484 DAG.new_job                     87          0.001170  0.144092  0.001656
..ntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/executors/__init__.py:112 DryrunExecutor.run_jobs  16          0.000143  0.144028  0.009002
..e/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/executors/__init__.py:127 DryrunExecutor.run  17          0.000203  0.143884  0.008464
../ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/executors/__init__.py:138 DryrunExecutor._run  17          0.000180  0.142529  0.008384
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/url.py:1 <module>                        1           0.000112  0.140825  0.140825
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/core/generic.py:1 <module>                     1           0.000248  0.140248  0.140248
